PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2015,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2016,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2017,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2018,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2019,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2020,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2021,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2022,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2023,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2024,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2025,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2026,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2027,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2028,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2029,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2030,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2031,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2032,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2033,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2034,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2035,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2036,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2037,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2038,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2039,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2040,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2041,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2042,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2043,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2044,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2045,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2046,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2047,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2048,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2049,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_entrada,,2050,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_salida,,2015,,,,,,526.42
EmissionsPenalty,BAU,CostaRica,,,CR_A_ANC_salida,,2016,,,,,,526.42
