PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CostaRica,BACKSTOPAGUA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRADEMAGROP,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRADEMCOHUMANO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRADEMHIDROELECTRICIDAD,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRADEMINDYSERV,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRALCSINTRAT,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRALCURB,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRALCURBFUT,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBBOSQUE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCARROZ,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCBANANO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCCAFE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCCANA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCOTROS,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCPALMA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCPINA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBOTROS,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUBAGROP,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUPAGROP,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRECONSUB,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRECONSUP,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRENENERGIA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRENPRECIP,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRENSUELO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREPOT,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRERIEGO,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CREXTSUB,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXTSUBFUT,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CREXTSUP,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXTSUPFUT,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRPOTFUT,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRPOZOSRUR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPOZOSRURFUT,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRREDACUED,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRREDACUEDFUT,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRRETSUB,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRRETSUP,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRRIEGOFUT,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRVSINTRATCOHUMANO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRVSINTRATINDYSERV,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRVTRATCOHUMANO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRVTRATFUTCOHUMANO,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRVTRATFUTINDYSERV,,,,,,,,,,50
OperationalLife,BAU,CostaRica,CRVTRATINDYSERV,,,,,,,,,,1
