PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2015,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2016,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2017,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2018,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2019,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2020,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2021,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2022,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2023,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2024,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2025,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2026,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2027,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2028,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2029,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2030,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2031,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2032,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2033,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2034,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2035,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2036,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2037,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2038,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2039,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2040,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2041,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2042,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2043,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2044,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2045,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2046,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2047,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2048,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2049,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CREPOT,,,,2050,,,,,,0.7
ResidualCapacity,BAU,CostaRica,CRERIEGO,,,,2015,,,,,,1.34
ResidualCapacity,BAU,CostaRica,CRERIEGO,,,,2016,,,,,,1.34
ResidualCapacity,BAU,CostaRica,CRERIEGO,,,,2017,,,,,,1.34
ResidualCapacity,BAU,CostaRica,CRERIEGO,,,,2018,,,,,,1.34
ResidualCapacity,BAU,CostaRica,CRERIEGO,,,,2019,,,,,,1.34
ResidualCapacity,BAU,CostaRica,CRERIEGO,,,,2020,,,,,,1.34
