PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,1.1902,,,,,,
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMCOHUMANO,,,0.07369156565534278,,,,,,
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMHIDROELECTRICIDAD,,,31.8604758315215,,,,,,
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMINDYSERV,,,0.0584,,,,,,
SpecifiedAnnualDemand,BAU,CostaRica,,CR06VERTCOHUMANO,,,0.22107469696602836,,,,,,
SpecifiedAnnualDemand,BAU,CostaRica,,CR06VERTINDYSERV,,,0.2336,,,,,,
,BAU,,,,,,,,,,,,
,BAU,,,,,,,,,,,,
,BAU,,,,,,,,,,,,
,BAU,,,,,,,,,,,,
,BAU,,,,,,,,,,,,
,BAU,,,,,,,,,,,,
,BAU,,,,,,,,,,, ,
