PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2015,,,,,,3.05121
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2016,,,,,,3.03606
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2017,,,,,,3.01889
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2018,,,,,,3.01081
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2019,,,,,,2.98556
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2020,,,,,,2.9694
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2021,,,,,,2.95223
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2022,,,,,,2.95324
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2023,,,,,,2.95728
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2024,,,,,,2.9694
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2025,,,,,,2.96334
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2026,,,,,,2.96536
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2027,,,,,,2.95829
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2028,,,,,,2.97142
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2029,,,,,,2.97344
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2030,,,,,,2.98859
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2031,,,,,,2.98152
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2032,,,,,,2.98354
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2033,,,,,,2.99667
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2034,,,,,,2.99768
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2035,,,,,,3.00172
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2036,,,,,,3.01283
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2037,,,,,,3.00677
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2038,,,,,,3.02495
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2039,,,,,,3.02596
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2040,,,,,,3.02899
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2041,,,,,,3.03
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2042,,,,,,3.0401
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2043,,,,,,3.05121
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2044,,,,,,3.05222
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2045,,,,,,3.0603
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2046,,,,,,3.06131
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2047,,,,,,3.06131
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2048,,,,,,3.08252
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2049,,,,,,3.08757
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBBOSQUE,,,,2050,,,,,,3.09464
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2015,,,,,,0.050514129
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2016,,,,,,0.051592758
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2017,,,,,,0.052651959
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2018,,,,,,0.053688956
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2019,,,,,,0.052178371
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2020,,,,,,0.053165663
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2021,,,,,,0.054126463
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2022,,,,,,0.054759063
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2023,,,,,,0.055357833
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2024,,,,,,0.05592332
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2025,,,,,,0.053987722
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2026,,,,,,0.054502183
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2027,,,,,,0.054985279
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2028,,,,,,0.05545109
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2029,,,,,,0.055874177
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2030,,,,,,0.053864262
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2031,,,,,,0.054244081
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2032,,,,,,0.054597354
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2033,,,,,,0.054924728
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2034,,,,,,0.055254867
TotalAnnualMaxCapacity,BAU,CostaRica,CRCOBCARROZ,,,,2035,,,,,,0.053215517
