PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2015,Lluviosa,,,,,0.894
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2016,Lluviosa,,,,,0.894
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2017,Lluviosa,,,,,0.898
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2018,Lluviosa,,,,,0.894
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2019,Lluviosa,,,,,0.9
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2020,Lluviosa,,,,,0.819
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2021,Lluviosa,,,,,0.891
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2022,Lluviosa,,,,,0.896
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2023,Lluviosa,,,,,0.9
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2024,Lluviosa,,,,,0.857
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2025,Lluviosa,,,,,0.842
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2026,Lluviosa,,,,,0.861
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2027,Lluviosa,,,,,0.887
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2028,Lluviosa,,,,,0.915
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2029,Lluviosa,,,,,0.87
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2030,Lluviosa,,,,,0.9
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2031,Lluviosa,,,,,0.886
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2032,Lluviosa,,,,,0.851
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2033,Lluviosa,,,,,0.877
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2034,Lluviosa,,,,,0.901
CapacityFactor,BAU,CostaRica,CRENPRECIP,,,,2035,Lluviosa,,,,,0.898
