PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2015,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2016,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2017,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2018,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2019,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2020,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2021,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2022,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2023,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2024,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2025,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2026,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2027,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2028,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2029,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2030,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2031,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2032,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2033,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2034,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2035,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2036,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2037,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2038,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2039,,,,,,9999999.0
FixedCost,BAU,CostaRica,BACKSTOPAGUA,,,,2040,,,,,,9999999.0
