PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2015,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2016,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2017,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2018,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2019,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2020,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2021,,,,,,0.46
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2022,,,,,,0.525
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2023,,,,,,0.583
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2024,,,,,,0.632
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2025,,,,,,0.676
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2026,,,,,,0.715
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2027,,,,,,0.715
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2028,,,,,,0.717
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2029,,,,,,0.718
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2030,,,,,,0.72
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2031,,,,,,0.72
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2032,,,,,,0.721
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2033,,,,,,0.723
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2034,,,,,,0.723
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2035,,,,,,0.725
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2036,,,,,,0.725
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2037,,,,,,0.726
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2038,,,,,,0.728
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2039,,,,,,0.729
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2040,,,,,,0.73
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2041,,,,,,0.731
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2042,,,,,,0.732
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2043,,,,,,0.733
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2044,,,,,,0.734
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2045,,,,,,0.735
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2046,,,,,,0.736
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2047,,,,,,0.737
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2048,,,,,,0.739
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2049,,,,,,0.739
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03AGUARIEGO,,1,2050,,,,,,0.741
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2015,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2016,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2017,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2018,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2019,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2020,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2021,,,,,,0.04
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2022,,,,,,0.033
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2023,,,,,,0.027
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2024,,,,,,0.021
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2025,,,,,,0.016
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2026,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2027,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2028,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2029,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2030,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2031,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2032,,,,,,0.012
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2033,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2034,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2035,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2036,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2037,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2038,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2039,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2040,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2041,,,,,,0.011
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2042,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2043,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2044,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2045,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2046,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2047,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2048,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2049,,,,,,0.01
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUBAGROP,,1,2050,,,,,,0.009
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2015,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2016,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2017,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2018,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2019,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2020,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2021,,,,,,0.5
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2022,,,,,,0.442
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2023,,,,,,0.391
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2024,,,,,,0.347
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2025,,,,,,0.307
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2026,,,,,,0.273
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2027,,,,,,0.273
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2028,,,,,,0.271
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2029,,,,,,0.27
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2030,,,,,,0.269
InputActivityRatio,BAU,CostaRica,CRADEMAGROP,CR03CONSUPAGROP,,1,2031,,,,,,0.268
