PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2015,,,,,,1.19
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2016,,,,,,1.198
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2017,,,,,,1.209
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2018,,,,,,1.214
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2019,,,,,,1.221
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2020,,,,,,1.231
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2021,,,,,,1.243
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2022,,,,,,1.343
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2023,,,,,,1.436
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2024,,,,,,1.533
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2025,,,,,,1.628
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2026,,,,,,1.728
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2027,,,,,,1.723
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2028,,,,,,1.71
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2029,,,,,,1.705
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2030,,,,,,1.694
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2031,,,,,,1.691
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2032,,,,,,1.686
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2033,,,,,,1.674
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2034,,,,,,1.67
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2035,,,,,,1.662
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2036,,,,,,1.657
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2037,,,,,,1.653
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2038,,,,,,1.641
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2039,,,,,,1.637
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2040,,,,,,1.629
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2041,,,,,,1.625
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2042,,,,,,1.62
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2043,,,,,,1.61
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2044,,,,,,1.606
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2045,,,,,,1.598
SpecifiedAnnualDemand,BAU,CostaRica,,CR05DEMAGROP,,,2046,,,,,,1.594
