PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2015,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2016,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2017,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2018,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2019,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2020,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2021,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2022,,,,,,0.424
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2023,,,,,,0.751
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2024,,,,,,1.083
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2025,,,,,,1.411
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2026,,,,,,1.746
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2027,,,,,,1.741
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2028,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2029,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2030,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2031,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2032,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2033,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2034,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2035,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2036,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2037,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2038,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2039,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2040,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2041,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2042,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2043,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2044,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2045,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2046,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2047,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2048,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2049,,,,,,0
TotalAnnualMinCapacityInvestment,BAU,CostaRica,CRRIEGOFUT,,,,2050,,,,,,0
