PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2015,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2016,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2017,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2018,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2019,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2020,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2021,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2022,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2023,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2024,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2025,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2026,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2027,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2028,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2029,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2030,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2031,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2032,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2033,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2034,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2035,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2036,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2037,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2038,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2039,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2040,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2041,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2042,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2043,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2044,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2045,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2046,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2047,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2048,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2049,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURB,,,,2050,,,,,,0.04732013108893194
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2015,,,,,,0.0
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2016,,,,,,0.000656
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2017,,,,,,0.001303
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2018,,,,,,0.001941
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2019,,,,,,0.002568
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2020,,,,,,0.003184
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2021,,,,,,0.008047
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2022,,,,,,0.012927
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2023,,,,,,0.01782
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2024,,,,,,0.022721
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2025,,,,,,0.027627
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2026,,,,,,0.032533
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2027,,,,,,0.037437
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2028,,,,,,0.042334
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2029,,,,,,0.047221
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2030,,,,,,0.052095
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2031,,,,,,0.056953
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2032,,,,,,0.061792
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2033,,,,,,0.066608
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2034,,,,,,0.071435
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2035,,,,,,0.076235
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2036,,,,,,0.081004
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2037,,,,,,0.080958
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2038,,,,,,0.08088
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2039,,,,,,0.080769
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2040,,,,,,0.080625
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2041,,,,,,0.080449
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2042,,,,,,0.08024
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2043,,,,,,0.079998
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2044,,,,,,0.079722
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRALCURBFUT,,,,2045,,,,,,0.079414
