PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
YearSplit,BAU,,,,,,2015,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2016,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2017,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2018,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2019,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2020,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2021,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2022,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2023,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2024,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2025,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2026,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2027,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2028,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2029,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2030,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2031,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2032,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2033,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2034,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2035,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2036,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2037,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2038,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2039,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2040,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2041,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2042,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2043,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2044,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2045,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2046,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2047,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2048,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2049,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2050,Lluviosa,,,,,0.58
YearSplit,BAU,,,,,,2015,Seca,,,,,0.42
YearSplit,BAU,,,,,,2016,Seca,,,,,0.42
YearSplit,BAU,,,,,,2017,Seca,,,,,0.42
YearSplit,BAU,,,,,,2018,Seca,,,,,0.42
YearSplit,BAU,,,,,,2019,Seca,,,,,0.42
YearSplit,BAU,,,,,,2020,Seca,,,,,0.42
YearSplit,BAU,,,,,,2021,Seca,,,,,0.42
YearSplit,BAU,,,,,,2022,Seca,,,,,0.42
YearSplit,BAU,,,,,,2023,Seca,,,,,0.42
YearSplit,BAU,,,,,,2024,Seca,,,,,0.42
YearSplit,BAU,,,,,,2025,Seca,,,,,0.42
YearSplit,BAU,,,,,,2026,Seca,,,,,0.42
YearSplit,BAU,,,,,,2027,Seca,,,,,0.42
YearSplit,BAU,,,,,,2028,Seca,,,,,0.42
YearSplit,BAU,,,,,,2029,Seca,,,,,0.42
YearSplit,BAU,,,,,,2030,Seca,,,,,0.42
YearSplit,BAU,,,,,,2031,Seca,,,,,0.42
YearSplit,BAU,,,,,,2032,Seca,,,,,0.42
YearSplit,BAU,,,,,,2033,Seca,,,,,0.42
YearSplit,BAU,,,,,,2034,Seca,,,,,0.42
YearSplit,BAU,,,,,,2035,Seca,,,,,0.42
YearSplit,BAU,,,,,,2036,Seca,,,,,0.42
YearSplit,BAU,,,,,,2037,Seca,,,,,0.42
YearSplit,BAU,,,,,,2038,Seca,,,,,0.42
YearSplit,BAU,,,,,,2039,Seca,,,,,0.42
YearSplit,BAU,,,,,,2040,Seca,,,,,0.42
YearSplit,BAU,,,,,,2041,Seca,,,,,0.42
YearSplit,BAU,,,,,,2042,Seca,,,,,0.42
YearSplit,BAU,,,,,,2043,Seca,,,,,0.42
YearSplit,BAU,,,,,,2044,Seca,,,,,0.42
YearSplit,BAU,,,,,,2045,Seca,,,,,0.42
YearSplit,BAU,,,,,,2046,Seca,,,,,0.42
YearSplit,BAU,,,,,,2047,Seca,,,,,0.42
YearSplit,BAU,,,,,,2048,Seca,,,,,0.42
YearSplit,BAU,,,,,,2049,Seca,,,,,0.42
YearSplit,BAU,,,,,,2050,Seca,,,,,0.42
