Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
0,,,CRADEMAGROP,,,,2015,,,,1.1902,1.1902,1.1902,1.1902,1.1902,1.1902,1.1902,,,,,,,,,,,,,0.00011902,0.00011902,,,0.00011902,0.000116152,0.00011902,,0.000235172,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2016,,,,1.1984,1.1984,1.1984,1.1984,1.1984,1.1984,1.1984,,,,,,,,,,,,,0.00011984,0.000114133,,,0.00011984,0.000111383,0.00011984,,0.000225516,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2017,,,,1.2088,1.2088,1.2088,1.2088,1.2088,1.2088,1.2088,,,,,,,,,,,,,0.00012088,0.000109642,,,0.00012088,0.000106999,0.00012088,,0.000216641,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2018,,,,1.2143,1.2143,1.2143,1.2143,1.2143,1.2143,1.2143,,,,,,,,,,,,,0.00012143,0.000104896,,,0.00012143,0.000102368,0.00012143,,0.000207264,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2019,,,,1.221,1.221,1.221,1.221,1.221,1.221,1.221,,,,,,,,,,,,,0.0001221,0.000100452,,,0.0001221,9.80311e-05,0.0001221,,0.000198483,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2020,,,,1.231,1.231,1.231,1.231,1.231,1.231,1.231,,,,,,,,,,,,,0.0001231,9.64521e-05,,,0.0001231,9.41276e-05,0.0001231,,0.00019058,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2021,,,,1.2428,1.2428,1.2428,1.2428,1.2428,1.2428,1.2428,,,,,,,,,,,,,0.00012428,9.27396e-05,,,0.00012428,9.05046e-05,0.00012428,,0.000183244,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2022,,,,1.2491,1.2491,1.2491,1.2491,1.2491,1.2491,1.2491,,,,,,,,,,,,,0.00012491,8.87712e-05,,,0.00012491,8.66318e-05,0.00012491,,0.000175403,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2023,,,,1.2475,1.2475,1.2475,1.2475,1.2475,1.2475,1.2475,,,,,,,,,,,,,0.00012475,8.44357e-05,,,0.00012475,8.24008e-05,0.00012475,,0.000166837,,,,,,,,,,,,
0,,,CRADEMAGROP,,,,2024,,,,1.2508,1.2508,1.2508,1.2508,1.2508,1.2508,1.2508,,,,,,,,,,,,,0.00012508,8.06277e-05,,,0.00012508,7.86846e-05,0.00012508,,0.000159312,,,,,,,,,,,,
