PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2015,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2016,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2017,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2018,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2019,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2020,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2021,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2022,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2023,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2024,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2025,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2026,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2027,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2028,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2029,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2030,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2031,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2032,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2033,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2034,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2035,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2036,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2037,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2038,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2039,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2040,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2041,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2042,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2043,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2044,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2045,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2046,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2047,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2048,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2049,,,,,,1
AccumulatedAnnualDemand,BAU,CostaRica,,CR09USOSUELO,,,2050,,,,,,1
