PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2015,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2016,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2017,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2018,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2019,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2020,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2021,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2022,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2023,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2024,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2025,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2026,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2027,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2028,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2029,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2030,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2031,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2032,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2033,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2034,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2035,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2036,,,,,,49.11
EmissionsPenalty,BAU,CostaRica,,,SE_DRY_Forest,,2037,,,,,,49.11
