PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2015,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2016,,,,,,0.062
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2017,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2018,,,,,,0.062
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2019,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2020,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2021,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2022,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2023,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2024,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2025,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2026,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2027,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2028,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2029,,,,,,0.063
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2030,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2031,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2032,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2033,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2034,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2035,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2036,,,,,,0.064
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2037,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2038,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2039,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2040,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2041,,,,,,0.065
SpecifiedAnnualDemand,BAU,CostaRica,,CR_XF_SE_DRY,,,2042,,,,,,0.065
