PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2015,,,,,,0.2
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2016,,,,,,0.201999999999999
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2017,,,,,,0.204
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2018,,,,,,0.206
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2019,,,,,,0.208
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2020,,,,,,0.21
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2021,,,,,,0.212
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2022,,,,,,0.214
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2023,,,,,,0.217
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2024,,,,,,0.218999999999999
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2025,,,,,,0.221
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2026,,,,,,0.223
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2027,,,,,,0.225
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2028,,,,,,0.228
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2029,,,,,,0.23
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2030,,,,,,0.231999999999999
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2031,,,,,,0.235
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2032,,,,,,0.237
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2033,,,,,,0.239
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2034,,,,,,0.242
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2035,,,,,,0.244
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2036,,,,,,0.246
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2037,,,,,,0.249
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2038,,,,,,0.251
TotalTechnologyAnnualActivityLowerLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2039,,,,,,0.254
