PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,BAU,CostaRica,BACKSTOP,,,,,,,,,,100
OperationalLife,BAU,CostaRica,CR_DRY_PRI_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_DRY_SEC_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_MANGR_PRI_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_MANGR_SEC_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_MOIST_PRI_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_MOIST_SEC_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_PALM_PRI_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_PALM_SEC_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_WET_PRI_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_WET_SEC_FOREST,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_XT_SE_DRY,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_XT_SE_MAN,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_XT_SE_MOI,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CR_XT_SE_PAL,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOB_OTR_TIERRAS,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOB_SIN_INFO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBCULT,,,,,,,,,,100
OperationalLife,BAU,CostaRica,CRCOBERBOS,,,,,,,,,,100
OperationalLife,BAU,CostaRica,CRCOBHUMEDA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCOBPAST,,,,,,,,,,100
OperationalLife,BAU,CostaRica,CRCOBURB,,,,,,,,,,100
OperationalLife,BAU,CostaRica,CRCONSU_MADERA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUACEITE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUARROZGR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUAZUCAR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUBAGAZO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUBANA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUCAFEORO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUCAR_VACU,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSULECHE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUMELA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRCONSUPINA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORT_MADERA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTACEITE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTARROZGR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTAZUCAR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTBANA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTCAFEORO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTCAR_VACU,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTLECHE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTMELA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CREXPORTPINA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORT_MADERA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTACEITE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTARROZGR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTAZUCAR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTBANA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTCAFEORO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTCAR_VACU,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTLECHE,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTMELA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRIMPORTPINA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPLANTA_FORESTAL,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPROCEAZUCAR,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPROCEPALMA,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPRODARROZ,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPRODBANA,,,,,,,,,,15
OperationalLife,BAU,CostaRica,CRPRODCAF,,,,,,,,,,20
OperationalLife,BAU,CostaRica,CRPRODCANA,,,,,,,,,,5
OperationalLife,BAU,CostaRica,CRPRODCARN_Vacu,,,,,,,,,,3
OperationalLife,BAU,CostaRica,CRPRODLECH,,,,,,,,,,8
OperationalLife,BAU,CostaRica,CRPRODOTRO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRPRODPALM,,,,,,,,,,25
OperationalLife,BAU,CostaRica,CRPRODPIN,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRSUELO,,,,,,,,,,1
OperationalLife,BAU,CostaRica,CRUSOSUELO,,,,,,,,,,1
