PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2015,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2016,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2017,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2018,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2019,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2020,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2021,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2022,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2023,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2024,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2025,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2026,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2027,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2028,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2029,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2030,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2031,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2032,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2033,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2034,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2035,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2036,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2037,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2038,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2039,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2040,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2041,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2042,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2043,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2044,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2045,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2046,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2047,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2048,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2049,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBERBOS,,,,2050,,,,,,2.67764
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2015,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2016,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2017,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2018,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2019,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2020,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2021,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2022,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2023,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2024,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2025,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2026,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2027,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2028,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2029,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2030,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2031,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2032,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2033,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2034,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2035,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2036,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2037,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2038,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2039,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2040,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2041,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2042,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2043,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2044,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2045,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2046,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2047,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2048,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2049,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBPAST,,,,2050,,,,,,1.42058
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2015,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2016,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2017,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2018,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2019,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2020,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2021,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2022,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2023,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2024,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2025,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2026,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2027,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2028,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2029,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2030,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2031,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2032,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2033,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2034,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2035,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2036,,,,,,0.11242
ResidualCapacity,BAU,CostaRica,CRCOBURB,,,,2037,,,,,,0.11242
