PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2015,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2016,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2017,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2018,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2019,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2020,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2021,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2022,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2023,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2024,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2025,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2026,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2027,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2028,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2029,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2030,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2031,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2032,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2033,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2034,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2035,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2036,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2037,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2038,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2039,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2040,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2041,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2042,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2043,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2044,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2045,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2046,,,,,,0.213
TotalAnnualMaxCapacity,BAU,CostaRica,CREXPORT_MADERA,,,,2047,,,,,,0.213
