PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2015,,,,,,0.2
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2016,,,,,,0.202
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2017,,,,,,0.204
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2018,,,,,,0.206
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2019,,,,,,0.208
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2020,,,,,,0.21
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2021,,,,,,0.212
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2022,,,,,,0.214
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2023,,,,,,0.217
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2024,,,,,,0.219
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2025,,,,,,0.221
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2026,,,,,,0.223
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2027,,,,,,0.225
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2028,,,,,,0.228
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2029,,,,,,0.23
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2030,,,,,,0.232
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2031,,,,,,0.235
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2032,,,,,,0.237
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2033,,,,,,0.239
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2034,,,,,,0.242
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2035,,,,,,0.244
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2036,,,,,,0.246
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2037,,,,,,0.249
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2038,,,,,,0.251
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2039,,,,,,0.254
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2040,,,,,,0.256
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2041,,,,,,0.259
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2042,,,,,,0.262
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2043,,,,,,0.264
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2044,,,,,,0.267
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2045,,,,,,0.27
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2046,,,,,,0.272
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2047,,,,,,0.275
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2048,,,,,,0.278
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2049,,,,,,0.281
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORT_MADERA,,,,2050,,,,,,0.283
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2015,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2016,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2017,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2018,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2019,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2020,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2021,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2022,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2023,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2024,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2025,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2026,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2027,,,,,,0.01
TotalTechnologyAnnualActivityUpperLimit,BAU,CostaRica,CRIMPORTACEITE,,,,2028,,,,,,0.01
