PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2015,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2016,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2017,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2018,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2019,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2020,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2021,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2022,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2023,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2024,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2025,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2026,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2027,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2028,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2029,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2030,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2031,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2032,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2033,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2034,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2035,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2036,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2037,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2038,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2039,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2040,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2041,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2042,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2043,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2044,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2045,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2046,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2047,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2048,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2049,,,,,,9999999.0
VariableCost,BAU,CostaRica,BACKSTOP,,,1,2050,,,,,,9999999.0
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2015,,,,,,-31.3
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2016,,,,,,-31.3
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2017,,,,,,-31.3
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2018,,,,,,-31.3
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2019,,,,,,-31.29
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2020,,,,,,-31.28
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2021,,,,,,-31.26
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2022,,,,,,-31.25
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2023,,,,,,-31.24
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2024,,,,,,-31.23
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2025,,,,,,-31.21
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2026,,,,,,-31.2
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2027,,,,,,-31.19
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2028,,,,,,-31.18
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2029,,,,,,-31.16
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2030,,,,,,-31.15
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2031,,,,,,-31.14
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2032,,,,,,-31.13
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2033,,,,,,-31.12
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2034,,,,,,-31.1
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2035,,,,,,-31.09
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2036,,,,,,-31.08
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2037,,,,,,-31.07
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2038,,,,,,-31.05
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2039,,,,,,-31.04
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2040,,,,,,-31.03
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2041,,,,,,-31.02
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2042,,,,,,-31.0
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2043,,,,,,-30.99
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2044,,,,,,-30.98
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2045,,,,,,-30.97
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2046,,,,,,-30.95
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2047,,,,,,-30.94
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2048,,,,,,-30.93
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2049,,,,,,-30.92
VariableCost,BAU,CostaRica,CREXPORT_MADERA,,,1,2050,,,,,,-30.91
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2015,,,,,,-730.0
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2016,,,,,,-769.0
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2017,,,,,,-808.1
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2018,,,,,,-847.1
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2019,,,,,,-886.2
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2020,,,,,,-925.2
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2021,,,,,,-964.2
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2022,,,,,,-1003.3
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2023,,,,,,-1042.3
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2024,,,,,,-1081.3
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2025,,,,,,-1120.4
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2026,,,,,,-1159.4
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2027,,,,,,-1198.5
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2028,,,,,,-1237.5
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2029,,,,,,-1276.5
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2030,,,,,,-1315.6
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2031,,,,,,-1354.6
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2032,,,,,,-1393.7
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2033,,,,,,-1432.7
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2034,,,,,,-1471.7
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2035,,,,,,-1510.8
VariableCost,BAU,CostaRica,CREXPORTACEITE,,,1,2036,,,,,,-1549.8
