Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
0,,,CR_DRY_PRI_FOREST,,,,2015,,,,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2016,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2017,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2018,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2019,,,,0.0537695,0.0537695,0.0537695,0.0537695,0.0537695,0.0537695,0.0537695,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2020,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2021,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2022,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2023,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2024,,,,0.033,0.033,0.033,0.033,0.033,0.033,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2025,,,,0.033,0.033,0.033,0.033,0.033,0.033,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2026,,,,0.032,0.032,0.032,0.032,0.032,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2027,,,,0.032,0.032,0.032,0.032,0.032,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2028,,,,0.032,0.032,0.032,0.032,0.032,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2029,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2030,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2031,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2032,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2033,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2034,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2035,,,,0.0621105,0.0621105,0.0621105,0.0621105,0.0621105,0.0621105,0.0621105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2036,,,,0.029,0.029,0.029,0.029,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2037,,,,0.029,0.029,0.029,0.029,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2038,,,,0.029,0.029,0.029,0.029,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2039,,,,0.028,0.028,0.028,0.028,0.028,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2040,,,,0.028,0.028,0.028,0.028,0.028,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2041,,,,0.028,0.028,0.028,0.028,0.028,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2042,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2043,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2044,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2045,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2046,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2047,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2048,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2049,,,,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2050,,,,0.025,0.025,0.025,0.025,0.025,0.025,0.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2015,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2016,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2017,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2018,,,,0.027,0.027,0.027,0.027,0.027,0.027,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2019,,,,0.028,0.028,0.028,0.028,0.028,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2020,,,,0.028,0.028,0.028,0.028,0.028,0.028,0.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2021,,,,0.029,0.029,0.029,0.029,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2022,,,,0.029,0.029,0.029,0.029,0.029,0.029,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2023,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2024,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2025,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2026,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2027,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2028,,,,0.032,0.032,0.032,0.032,0.032,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2029,,,,0.032,0.032,0.032,0.032,0.032,0.032,0.032,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2030,,,,0.033,0.033,0.033,0.033,0.033,0.033,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2031,,,,0.033,0.033,0.033,0.033,0.033,0.033,0.033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2032,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2033,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2034,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2035,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2036,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2037,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2038,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2039,,,,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2040,,,,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2041,,,,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2042,,,,0.038,0.038,0.038,0.038,0.038,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2043,,,,0.038,0.038,0.038,0.038,0.038,0.038,0.038,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2044,,,,0.039,0.039,0.039,0.039,0.039,0.039,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2045,,,,0.039,0.039,0.039,0.039,0.039,0.039,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2046,,,,0.039,0.039,0.039,0.039,0.039,0.039,0.039,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2047,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2048,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2049,,,,0.04,0.04,0.04,0.04,0.04,0.04,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2050,,,,0.041,0.041,0.041,0.041,0.041,0.041,0.041,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2015,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2016,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2017,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2018,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2019,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
