Run.ID,Fuel,Fuel.DESCRIPTION,Technology,Technology.DESCRIPTION,Emission,Emission.DESCRIPTION,Year,RateOfDemand,Demand,NumberOfNewTechnologyUnits,NewCapacity,AccumulatedNewCapacity,TotalCapacityAnnual,RateOfActivity,RateOfTotalActivity,TotalTechnologyAnnualActivity,TotalAnnualTechnologyActivityByMode,TotalTechnologyModelPeriodActivity,RateOfProductionByTechnologyByMode,RateOfProductionByTechnology,ProductionByTechnology,ProductionByTechnologyAnnual,RateOfProduction,Production,RateOfUseByTechnologyByMode,RateOfUseByTechnology,UseByTechnologyAnnual,UseByTechnology,UseAnnual,CapitalInvestment,DiscountedCapitalInvestment,SalvageValue,DiscountedSalvageValue,OperatingCost,DiscountedOperatingCost,AnnualVariableOperatingCost,AnnualFixedOperatingCost,TotalDiscountedCostByTechnology,TotalDiscountedCost,TotalCapacityInReserveMargin,DemandNeedingReserveMargin,TotalREProductionAnnual,RETotalProductionOfTargetFuelAnnual,AnnualTechnologyEmissionByMode,AnnualTechnologyEmission,AnnualTechnologyEmissionPenaltyByEmission,AnnualTechnologyEmissionsPenalty,DiscountedTechnologyEmissionsPenalty,AnnualEmissions,ModelPeriodEmissions
0,,,CR_DRY_PRI_FOREST,,,,2015,,,,0.037,0.037,0.037,0.037,0.037,0.037,0.037,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2016,,,,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,0.0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2017,,,,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363,0.0363,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2018,,,,0.0362,0.0362,0.0362,0.0362,0.0362,0.0362,0.0362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2019,,,,0.036,0.036,0.036,0.036,0.036,0.036,0.036,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2020,,,,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,0.0359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2021,,,,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,0.0358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2022,,,,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,0.0357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2023,,,,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,0.0356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2024,,,,0.0355,0.0355,0.0355,0.0355,0.0355,0.0355,0.0355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2025,,,,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,0.0354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2026,,,,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2027,,,,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,0.0353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2028,,,,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2029,,,,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,0.0352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2030,,,,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2031,,,,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2032,,,,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,0.0351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2033,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2034,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2035,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2036,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2037,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2038,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2039,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2040,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2041,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2042,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2043,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2044,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2045,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2046,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2047,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2048,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2049,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_PRI_FOREST,,,,2050,,,,0.035,0.035,0.035,0.035,0.035,0.035,0.035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2015,,,,0.026,0.026,0.026,0.026,0.026,0.026,0.026,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2016,,,,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,0.0261,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2017,,,,0.0264,0.0264,0.0264,0.0264,0.0264,0.0264,0.0264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2018,,,,0.0266,0.0266,0.0266,0.0266,0.0266,0.0266,0.0266,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2019,,,,0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,0.0269,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2020,,,,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,0.0271,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2021,,,,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,0.0274,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2022,,,,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,0.0276,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2023,,,,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,0.0278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2024,,,,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,0.0281,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2025,,,,0.0283,0.0283,0.0283,0.0283,0.0283,0.0283,0.0283,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2026,,,,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,0.0285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2027,,,,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,0.0287,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2028,,,,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289,0.0289,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2029,,,,0.0292,0.0292,0.0292,0.0292,0.0292,0.0292,0.0292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2030,,,,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,0.0294,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2031,,,,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,0.0296,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2032,,,,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,0.0298,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2033,,,,0.03,0.03,0.03,0.03,0.03,0.03,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2034,,,,0.0301,0.0301,0.0301,0.0301,0.0301,0.0301,0.0301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2035,,,,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,0.0303,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2036,,,,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,0.0305,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2037,,,,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,0.0307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2038,,,,0.0309,0.0309,0.0309,0.0309,0.0309,0.0309,0.0309,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2039,,,,0.031,0.031,0.031,0.031,0.031,0.031,0.031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2040,,,,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,0.0312,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2041,,,,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,0.0313,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2042,,,,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,0.0315,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2043,,,,0.0316,0.0316,0.0316,0.0316,0.0316,0.0316,0.0316,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2044,,,,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,0.0318,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2045,,,,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319,0.0319,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2046,,,,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,0.0321,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2047,,,,0.0322,0.0322,0.0322,0.0322,0.0322,0.0322,0.0322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2048,,,,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,0.0323,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2049,,,,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,0.0324,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_DRY_SEC_FOREST,,,,2050,,,,0.0326,0.0326,0.0326,0.0326,0.0326,0.0326,0.0326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2015,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2016,,,,0.0344,0.0344,0.0344,0.0344,0.0344,0.0344,0.0344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2017,,,,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343,0.0343,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2018,,,,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,0.0341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2019,,,,0.034,0.034,0.034,0.034,0.034,0.034,0.034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2020,,,,0.0339,0.0339,0.0339,0.0339,0.0339,0.0339,0.0339,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2021,,,,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,0.0338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0,,,CR_MANGR_PRI_FOREST,,,,2022,,,,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,0.0337,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
