PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2015,,,,,,13.99
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2016,,,,,,14.25
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2017,,,,,,14.49
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2018,,,,,,14.74
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2019,,,,,,14.98
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2020,,,,,,15.24
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2021,,,,,,15.48
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2022,,,,,,15.72
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2023,,,,,,15.97
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2024,,,,,,16.22
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2025,,,,,,16.47
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2026,,,,,,16.71
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2027,,,,,,16.96
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2028,,,,,,17.21
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2029,,,,,,17.45
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2030,,,,,,17.7
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2031,,,,,,17.94
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2032,,,,,,18.2
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2033,,,,,,18.44
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2034,,,,,,18.69
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2035,,,,,,18.93
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2036,,,,,,19.19
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2037,,,,,,19.43
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2038,,,,,,19.67
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2039,,,,,,19.92
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2040,,,,,,20.17
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2041,,,,,,20.42
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2042,,,,,,20.66
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2043,,,,,,20.91
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2044,,,,,,21.16
SpecifiedAnnualDemand,BAU,CR,,E1BIO,,,2045,,,,,,21.4
