PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2015,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2016,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2017,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2018,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2019,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2020,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2021,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2022,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2023,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2024,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2025,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2026,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2027,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2028,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2029,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2030,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2031,,,,,,0.05
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2032,,,,,,0.1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2033,,,,,,0.15
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2034,,,,,,0.2
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2035,,,,,,0.25
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2036,,,,,,0.3
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2037,,,,,,0.35
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2038,,,,,,0.4
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2039,,,,,,0.45
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2040,,,,,,0.5
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2041,,,,,,0.55
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2042,,,,,,0.6
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2043,,,,,,0.65
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2044,,,,,,0.7
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2045,,,,,,0.75
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2046,,,,,,0.8
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2047,,,,,,0.85
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2048,,,,,,0.9
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2049,,,,,,0.95
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL001,,,,2050,,,,,,1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2015,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2016,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2017,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2018,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2019,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2020,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2021,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2022,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2023,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2024,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2025,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2026,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2027,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2028,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2029,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2030,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2031,,,,,,0.05
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2032,,,,,,0.1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2033,,,,,,0.15
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2034,,,,,,0.2
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2035,,,,,,0.25
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2036,,,,,,0.3
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2037,,,,,,0.35
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2038,,,,,,0.4
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2039,,,,,,0.45
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2040,,,,,,0.5
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2041,,,,,,0.55
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2042,,,,,,0.6
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2043,,,,,,0.65
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2044,,,,,,0.7
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2045,,,,,,0.75
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2046,,,,,,0.8
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2047,,,,,,0.85
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2048,,,,,,0.9
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2049,,,,,,0.95
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB001,,,,2050,,,,,,1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2015,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2016,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2017,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2018,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2019,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2020,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2021,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2022,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2023,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2024,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2025,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2026,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2027,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2028,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2029,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2030,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2031,,,,,,0.05
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2032,,,,,,0.1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2033,,,,,,0.15
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2034,,,,,,0.2
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2035,,,,,,0.25
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2036,,,,,,0.3
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2037,,,,,,0.35
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2038,,,,,,0.4
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2039,,,,,,0.45
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2040,,,,,,0.5
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2041,,,,,,0.55
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2042,,,,,,0.6
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2043,,,,,,0.65
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2044,,,,,,0.7
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2045,,,,,,0.75
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2046,,,,,,0.8
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2047,,,,,,0.85
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2048,,,,,,0.9
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2049,,,,,,0.95
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPDSL002,,,,2050,,,,,,1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2015,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2016,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2017,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2018,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2019,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2020,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2021,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2022,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2023,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2024,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2025,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2026,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2027,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2028,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2029,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2030,,,,,,0
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2031,,,,,,0.05
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2032,,,,,,0.1
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2033,,,,,,0.15
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2034,,,,,,0.2
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2035,,,,,,0.25
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2036,,,,,,0.3
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2037,,,,,,0.35
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2038,,,,,,0.4
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2039,,,,,,0.45
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2040,,,,,,0.5
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2041,,,,,,0.55
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2042,,,,,,0.6
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2043,,,,,,0.65
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2044,,,,,,0.7
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2045,,,,,,0.75
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2046,,,,,,0.8
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2047,,,,,,0.85
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2048,,,,,,0.9
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2049,,,,,,0.95
TotalTechnologyAnnualActivityUpperLimit,BAU,CR,PPFOB002,,,,2050,,,,,,1
