PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
OperationalLife,OP15C,CR,BACKSTOP_PS,,,,,,,,,,100
OperationalLife,OP15C,CR,BACKSTOP_TS,,,,,,,,,,100
OperationalLife,OP15C,CR,DBIO_El,,,,,,,,,,1
OperationalLife,OP15C,CR,DDSL_El,,,,,,,,,,1
OperationalLife,OP15C,CR,DDSL_HF,,,,,,,,,,15
OperationalLife,OP15C,CR,DDSL_LF,,,,,,,,,,15
OperationalLife,OP15C,CR,DDSL_Pr,,,,,,,,,,1
OperationalLife,OP15C,CR,DDSL_Pu,,,,,,,,,,15
OperationalLife,OP15C,CR,DELE_HF,,,,,,,,,,1
OperationalLife,OP15C,CR,DELE_LF,,,,,,,,,,1
OperationalLife,OP15C,CR,DELE_Pr,,,,,,,,,,1
OperationalLife,OP15C,CR,DELE_Pu,,,,,,,,,,1
OperationalLife,OP15C,CR,DGSL_LF,,,,,,,,,,1
OperationalLife,OP15C,CR,DGSL_Pr,,,,,,,,,,1
OperationalLife,OP15C,CR,DGSL_Pu,,,,,,,,,,1
OperationalLife,OP15C,CR,DHYD_HF,,,,,,,,,,1
OperationalLife,OP15C,CR,DHYD_Pu,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_DSL,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_FOI,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_FWO,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_GSL,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_HYD,,,,,,,,,,15
OperationalLife,OP15C,CR,DIST_JFUEL,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_LPG,,,,,,,,,,10
OperationalLife,OP15C,CR,DIST_NG,,,,,,,,,,1
OperationalLife,OP15C,CR,DIST_PCO,,,,,,,,,,1
OperationalLife,OP15C,CR,DLPG_HF,,,,,,,,,,1
OperationalLife,OP15C,CR,DLPG_LF,,,,,,,,,,1
OperationalLife,OP15C,CR,DLPG_Pr,,,,,,,,,,1
OperationalLife,OP15C,CR,DLPG_Pu,,,,,,,,,,1
OperationalLife,OP15C,CR,ESRNBIO,,,,,,,,,,100
OperationalLife,OP15C,CR,ESRNGEO,,,,,,,,,,100
OperationalLife,OP15C,CR,ESRNSUN,,,,,,,,,,100
OperationalLife,OP15C,CR,ESRNWAT,,,,,,,,,,100
OperationalLife,OP15C,CR,ESRNWND,,,,,,,,,,100
OperationalLife,OP15C,CR,PPBIO001,,,,,,,,,,25
OperationalLife,OP15C,CR,PPBIO002,,,,,,,,,,25
OperationalLife,OP15C,CR,PPDSL001,,,,,,,,,,30
OperationalLife,OP15C,CR,PPDSL002,,,,,,,,,,30
OperationalLife,OP15C,CR,PPFOB001,,,,,,,,,,30
OperationalLife,OP15C,CR,PPFOB002,,,,,,,,,,30
OperationalLife,OP15C,CR,PPGEO001,,,,,,,,,,40
OperationalLife,OP15C,CR,PPGEO002,,,,,,,,,,40
OperationalLife,OP15C,CR,PPHDAM001,,,,,,,,,,80
OperationalLife,OP15C,CR,PPHDAM002,,,,,,,,,,80
OperationalLife,OP15C,CR,PPHROR001,,,,,,,,,,60
OperationalLife,OP15C,CR,PPHROR002,,,,,,,,,,60
OperationalLife,OP15C,CR,PPPVD002,,,,,,,,,,20
OperationalLife,OP15C,CR,PPPVT001,,,,,,,,,,25
OperationalLife,OP15C,CR,PPPVT002,,,,,,,,,,25
OperationalLife,OP15C,CR,PPWND002,,,,,,,,,,20
OperationalLife,OP15C,CR,PPWNT001,,,,,,,,,,25
OperationalLife,OP15C,CR,PPWNT002,,,,,,,,,,25
OperationalLife,OP15C,CR,PROD_HYD_CH4,,,,,,,,,,1
OperationalLife,OP15C,CR,PROD_HYD_H20,,,,,,,,,,20
OperationalLife,OP15C,CR,TDDIST01,,,,,,,,,,50
OperationalLife,OP15C,CR,TDDIST02,,,,,,,,,,50
OperationalLife,OP15C,CR,TDTRANS01,,,,,,,,,,60
OperationalLife,OP15C,CR,TDTRANS02,,,,,,,,,,60
OperationalLife,OP15C,CR,Techs_4WD,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Buses,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_He_Freight,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_LD,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Li_Freight,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Microbuses,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Minivan,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Motos,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Taxis,,,,,,,,,,1
OperationalLife,OP15C,CR,Techs_Trains,,,,,,,,,,1
OperationalLife,OP15C,CR,TRBUSDSL01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRBUSDSL02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRBUSELC02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRBUSHYBD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRBUSHYD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRBUSLPG02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDDSL01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDDSL02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDELE02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRFWDGAS01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDGAS02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDHYBD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRFWDLPG01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDLPG02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRFWDPHYBD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRLDDSL01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRLDDSL02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRLDELE02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRLDGAS01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRLDGAS02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRLDHYBG02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRLDPHYBG02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMBUSDSL01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMBUSDSL02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMBUSELE02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMBUSHYBD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMBUSHYD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMBUSLPG02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMIVDSL02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMIVELE02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMIVGAS02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMIVHYBD02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMIVHYBG02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMIVLPG02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMOTELC02,,,,,,,,,,12
OperationalLife,OP15C,CR,TRMOTGAS01,,,,,,,,,,15
OperationalLife,OP15C,CR,TRMOTGAS02,,,,,,,,,,15
OperationalLife,OP15C,CR,TRTAXDSL01,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXDSL02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXELC02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXGAS01,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXGAS02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXHYBD02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXHYBG02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRTAXLPG02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRXTRAIELEFRE02,,,,,,,,,,50
OperationalLife,OP15C,CR,TRXTRAINDSL01,,,,,,,,,,20
OperationalLife,OP15C,CR,TRXTRAINDSL02,,,,,,,,,,20
OperationalLife,OP15C,CR,TRXTRAINELC02,,,,,,,,,,20
OperationalLife,OP15C,CR,TRYLFDSL01,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYLFDSL02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYLFELE02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYLFGAS02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYLFHYBD02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYLFHYBG02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYLFLPG02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYTKDSL01,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYTKDSL02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYTKELC02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYTKHYBD02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYTKHYD02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRYTKLPG02,,,,,,,,,,10
OperationalLife,OP15C,CR,TRANOMOTBike,,,,,,,,,,40
OperationalLife,OP15C,CR,TRANOMOTWalk,,,,,,,,,,40
OperationalLife,OP15C,CR,TRANPUB,,,,,,,,,,40
OperationalLife,OP15C,CR,TRANRAILINF,,,,,,,,,,20
OperationalLife,OP15C,CR,TRANRAILCAR,,,,,,,,,,40
