PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2015,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2016,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2017,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2018,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2019,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2020,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2021,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2022,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2023,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2024,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2025,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2026,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2027,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2028,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2029,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2030,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2031,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2032,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2033,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2034,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2035,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2036,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2037,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2038,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2039,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2040,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2041,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2042,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2043,,,,,,0.03
TotalAnnualMaxCapacity,OP15C,CR,PPBIO001,,,,2044,,,,,,0.03
