PARAMETER,Scenario,REGION,TECHNOLOGY,FUEL,EMISSION,MODE_OF_OPERATION,YEAR,TIMESLICE,SEASON,DAYTYPE,DAILYTIMEBRACKET,STORAGE,Value
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2015,,,,,,4.3458
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2016,,,,,,4.5989
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2017,,,,,,4.7275
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2018,,,,,,4.8657
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2019,,,,,,5.0038
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2020,,,,,,5.1491
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2021,,,,,,5.3022
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2022,,,,,,5.4292
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2023,,,,,,5.5447
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2024,,,,,,5.6846
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2025,,,,,,5.8384
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2026,,,,,,5.9387
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2027,,,,,,6.0771
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2028,,,,,,6.2005
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2029,,,,,,6.2735
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2030,,,,,,6.3539
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2031,,,,,,6.4064
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2032,,,,,,6.4274
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2033,,,,,,6.4009
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2034,,,,,,6.3212
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2035,,,,,,6.1898
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2036,,,,,,6.0298
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2037,,,,,,5.8546
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2038,,,,,,5.6979
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2039,,,,,,5.5765
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2040,,,,,,5.4939
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2041,,,,,,5.4544
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2042,,,,,,5.4413
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2043,,,,,,5.4614
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2044,,,,,,5.5054
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2045,,,,,,5.5606
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2046,,,,,,5.6152
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2047,,,,,,5.6884
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2048,,,,,,5.7777
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2049,,,,,,5.8469
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_4WD,,,,2050,,,,,,5.9237
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2015,,,,,,0.4679
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2016,,,,,,0.4892
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2017,,,,,,0.5045
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2018,,,,,,0.5159
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2019,,,,,,0.5282
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2020,,,,,,0.5433
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2021,,,,,,0.5534
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2022,,,,,,0.567
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2023,,,,,,0.5816
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2024,,,,,,0.5927
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2025,,,,,,0.6067
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2026,,,,,,0.59
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2027,,,,,,0.6016
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2028,,,,,,0.6142
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2029,,,,,,0.631
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2030,,,,,,0.6486
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2031,,,,,,0.6689
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2032,,,,,,0.691
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2033,,,,,,0.721
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2034,,,,,,0.7571
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2035,,,,,,0.7966
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2036,,,,,,0.8407
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2037,,,,,,0.8886
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2038,,,,,,0.9334
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2039,,,,,,0.9742
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2040,,,,,,1.0058
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2041,,,,,,1.0352
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2042,,,,,,1.0618
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2043,,,,,,1.0858
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2044,,,,,,1.1019
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2045,,,,,,1.1226
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2046,,,,,,1.142
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2047,,,,,,1.1618
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2048,,,,,,1.1778
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2049,,,,,,1.1958
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_Buses,,,,2050,,,,,,1.215
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2015,,,,,,9.9279
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2016,,,,,,10.4222
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2017,,,,,,10.6974
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2018,,,,,,10.9682
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2019,,,,,,11.2399
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2020,,,,,,11.4825
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2021,,,,,,11.7192
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2022,,,,,,11.9988
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2023,,,,,,12.1881
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2024,,,,,,12.4267
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2025,,,,,,12.6522
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2026,,,,,,12.8638
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2027,,,,,,13.0399
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2028,,,,,,13.2602
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2029,,,,,,13.407
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2030,,,,,,13.5072
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2031,,,,,,13.6042
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2032,,,,,,13.5932
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2033,,,,,,13.4867
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2034,,,,,,13.2736
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2035,,,,,,12.9625
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2036,,,,,,12.6185
TotalTechnologyAnnualActivityLowerLimit,OP15C,CR,Techs_LD,,,,2037,,,,,,12.2562
