Strategy,Year,Fuel,SpecifiedAnnualDemand
BAU,2015,Demand for agriculture,1.1902
BAU,2016,Demand for agriculture,1.1984
BAU,2017,Demand for agriculture,1.2088
BAU,2018,Demand for agriculture,1.2143
BAU,2019,Demand for agriculture,1.221
BAU,2020,Demand for agriculture,1.231
BAU,2021,Demand for agriculture,1.2428
BAU,2022,Demand for agriculture,1.2491
BAU,2023,Demand for agriculture,1.2475
BAU,2024,Demand for agriculture,1.2508
BAU,2025,Demand for agriculture,1.2504
BAU,2026,Demand for agriculture,1.2559
BAU,2027,Demand for agriculture,1.2603
BAU,2028,Demand for agriculture,1.2565
BAU,2029,Demand for agriculture,1.2603
BAU,2030,Demand for agriculture,1.2571
BAU,2031,Demand for agriculture,1.2616
BAU,2032,Demand for agriculture,1.2652
BAU,2033,Demand for agriculture,1.2607
BAU,2034,Demand for agriculture,1.2647
BAU,2035,Demand for agriculture,1.2635
BAU,2036,Demand for agriculture,1.2667
BAU,2037,Demand for agriculture,1.2703
BAU,2038,Demand for agriculture,1.2648
BAU,2039,Demand for agriculture,1.2682
BAU,2040,Demand for agriculture,1.2664
BAU,2041,Demand for agriculture,1.2694
BAU,2042,Demand for agriculture,1.2701
BAU,2043,Demand for agriculture,1.2666
BAU,2044,Demand for agriculture,1.2694
BAU,2045,Demand for agriculture,1.2666
BAU,2046,Demand for agriculture,1.269
BAU,2047,Demand for agriculture,1.2691
BAU,2048,Demand for agriculture,1.2646
BAU,2049,Demand for agriculture,1.267
BAU,2050,Demand for agriculture,1.2639
NDP,2015,Demand for agriculture,1.19
NDP,2016,Demand for agriculture,1.198
NDP,2017,Demand for agriculture,1.209
NDP,2018,Demand for agriculture,1.214
NDP,2019,Demand for agriculture,1.221
NDP,2020,Demand for agriculture,1.231
NDP,2021,Demand for agriculture,1.243
NDP,2022,Demand for agriculture,1.343
NDP,2023,Demand for agriculture,1.436
NDP,2024,Demand for agriculture,1.533
NDP,2025,Demand for agriculture,1.628
NDP,2026,Demand for agriculture,1.728
NDP,2027,Demand for agriculture,1.723
NDP,2028,Demand for agriculture,1.71
NDP,2029,Demand for agriculture,1.705
NDP,2030,Demand for agriculture,1.694
NDP,2031,Demand for agriculture,1.691
NDP,2032,Demand for agriculture,1.686
NDP,2033,Demand for agriculture,1.674
NDP,2034,Demand for agriculture,1.67
NDP,2035,Demand for agriculture,1.662
NDP,2036,Demand for agriculture,1.657
NDP,2037,Demand for agriculture,1.653
NDP,2038,Demand for agriculture,1.641
NDP,2039,Demand for agriculture,1.637
NDP,2040,Demand for agriculture,1.629
NDP,2041,Demand for agriculture,1.625
NDP,2042,Demand for agriculture,1.62
NDP,2043,Demand for agriculture,1.61
NDP,2044,Demand for agriculture,1.606
NDP,2045,Demand for agriculture,1.598
NDP,2046,Demand for agriculture,1.594
NDP,2047,Demand for agriculture,1.588
NDP,2048,Demand for agriculture,1.578
NDP,2049,Demand for agriculture,1.574
NDP,2050,Demand for agriculture,1.567
