Strategy,Year,EmissionActivityRatio
BAU,,
BAU,2015,1.45
BAU,2016,1.45
BAU,2017,1.45
BAU,2018,1.45
BAU,2019,1.45
BAU,2020,1.45
BAU,2021,1.45
BAU,2022,1.45
BAU,2023,1.45
BAU,2024,1.45
BAU,2025,1.45
BAU,2026,1.45
BAU,2027,1.45
BAU,2028,1.45
BAU,2029,1.45
BAU,2030,1.45
BAU,2031,1.45
BAU,2032,1.45
BAU,2033,1.45
BAU,2034,1.45
BAU,2035,1.45
BAU,2036,1.45
BAU,2037,1.45
BAU,2038,1.45
BAU,2039,1.45
BAU,2040,1.45
BAU,2041,1.45
BAU,2042,1.45
BAU,2043,1.45
BAU,2044,1.45
BAU,2045,1.45
BAU,2046,1.45
BAU,2047,1.45
BAU,2048,1.45
BAU,2049,1.45
BAU,2050,1.45
NDP,,
NDP,2015,1.45
NDP,2016,1.45
NDP,2017,1.45
NDP,2018,1.45
NDP,2019,1.45
NDP,2020,1.45
NDP,2021,1.45
NDP,2022,1.45
NDP,2023,1.45
NDP,2024,1.45
NDP,2025,1.44
NDP,2026,1.42
NDP,2027,1.41
NDP,2028,1.39
NDP,2029,1.38
NDP,2030,1.36
NDP,2031,1.35
NDP,2032,1.34
NDP,2033,1.32
NDP,2034,1.31
NDP,2035,1.29
NDP,2036,1.28
NDP,2037,1.27
NDP,2038,1.25
NDP,2039,1.24
NDP,2040,1.22
NDP,2041,1.21
NDP,2042,1.19
NDP,2043,1.18
NDP,2044,1.17
NDP,2045,1.15
NDP,2046,1.14
NDP,2047,1.12
NDP,2048,1.11
NDP,2049,1.09
NDP,2050,1.08
