Strategy,Year,FixedCost
BAU,,
BAU,2015,24131.7
BAU,2016,24131.7
BAU,2017,24131.7
BAU,2018,24131.7
BAU,2019,24131.7
BAU,2020,24131.7
BAU,2021,24131.7
BAU,2022,24239.9
BAU,2023,24348.1
BAU,2024,24456.2
BAU,2025,24564.4
BAU,2026,24672.6
BAU,2027,24780.8
BAU,2028,24888.9
BAU,2029,24997.1
BAU,2030,25105.3
BAU,2031,25213.5
BAU,2032,25321.6
BAU,2033,25429.8
BAU,2034,25538
BAU,2035,25646.2
BAU,2036,25754.3
BAU,2037,25862.5
BAU,2038,25970.7
BAU,2039,26078.9
BAU,2040,26187.1
BAU,2041,26295.2
BAU,2042,26403.4
BAU,2043,26511.6
BAU,2044,26619.8
BAU,2045,26727.9
BAU,2046,26836.1
BAU,2047,26944.3
BAU,2048,27052.5
BAU,2049,27160.6
BAU,2050,27268.8
NDP,,
NDP,2015,24131.7
NDP,2016,24131.7
NDP,2017,24131.7
NDP,2018,24131.7
NDP,2019,24131.7
NDP,2020,24131.7
NDP,2021,24131.7
NDP,2022,24422.9
NDP,2023,24714.2
NDP,2024,25005.4
NDP,2025,25296.7
NDP,2026,25587.9
NDP,2027,25879.2
NDP,2028,26170.4
NDP,2029,26461.7
NDP,2030,26752.9
NDP,2031,27044.1
NDP,2032,27335.4
NDP,2033,27626.6
NDP,2034,27917.9
NDP,2035,28209.1
NDP,2036,28500.4
NDP,2037,28791.6
NDP,2038,29082.9
NDP,2039,29374.1
NDP,2040,29665.3
NDP,2041,29956.6
NDP,2042,30247.8
NDP,2043,30539.1
NDP,2044,30830.3
NDP,2045,31121.6
NDP,2046,31412.8
NDP,2047,31704.1
NDP,2048,31995.3
NDP,2049,32286.6
NDP,2050,32577.8
