Strategy,Year,CapitalCost
BAU,,
BAU,2015,565.91
BAU,2016,565.91
BAU,2017,565.91
BAU,2018,565.91
BAU,2019,565.91
BAU,2020,565.91
BAU,2021,565.91
BAU,2022,571.57
BAU,2023,577.28
BAU,2024,583.06
BAU,2025,588.89
BAU,2026,594.78
BAU,2027,600.72
BAU,2028,606.73
BAU,2029,612.8
BAU,2030,618.93
BAU,2031,625.12
BAU,2032,631.37
BAU,2033,637.68
BAU,2034,644.06
BAU,2035,650.5
BAU,2036,657
BAU,2037,663.57
BAU,2038,670.21
BAU,2039,676.91
BAU,2040,683.68
BAU,2041,690.52
BAU,2042,697.42
BAU,2043,704.4
BAU,2044,711.44
BAU,2045,718.56
BAU,2046,725.74
BAU,2047,733
BAU,2048,740.33
BAU,2049,747.73
BAU,2050,755.21
NDP,,
NDP,2015,565.91
NDP,2016,565.91
NDP,2017,565.91
NDP,2018,565.91
NDP,2019,565.91
NDP,2020,565.91
NDP,2021,565.91
NDP,2022,565.91
NDP,2023,565.91
NDP,2024,565.91
NDP,2025,565.91
NDP,2026,565.91
NDP,2027,565.91
NDP,2028,565.91
NDP,2029,565.91
NDP,2030,565.91
NDP,2031,565.91
NDP,2032,565.91
NDP,2033,565.91
NDP,2034,565.91
NDP,2035,565.91
NDP,2036,565.91
NDP,2037,565.91
NDP,2038,565.91
NDP,2039,565.91
NDP,2040,565.91
NDP,2041,565.91
NDP,2042,565.91
NDP,2043,565.91
NDP,2044,565.91
NDP,2045,565.91
NDP,2046,565.91
NDP,2047,565.91
NDP,2048,565.91
NDP,2049,565.91
NDP,2050,565.91
