Strategy,Year,FixedCost
BAU,,
BAU,2015,1019.4
BAU,2016,1019.4
BAU,2017,1019.4
BAU,2018,1019.4
BAU,2019,1019.4
BAU,2020,1019.4
BAU,2021,1019.4
BAU,2022,1029.6
BAU,2023,1039.9
BAU,2024,1050.3
BAU,2025,1060.8
BAU,2026,1071.4
BAU,2027,1082.1
BAU,2028,1092.9
BAU,2029,1103.8
BAU,2030,1114.9
BAU,2031,1126
BAU,2032,1137.3
BAU,2033,1148.7
BAU,2034,1160.1
BAU,2035,1171.7
BAU,2036,1183.5
BAU,2037,1195.3
BAU,2038,1207.3
BAU,2039,1219.3
BAU,2040,1231.5
BAU,2041,1243.8
BAU,2042,1256.3
BAU,2043,1268.8
BAU,2044,1281.5
BAU,2045,1294.3
BAU,2046,1307.3
BAU,2047,1320.4
BAU,2048,1333.6
BAU,2049,1346.9
BAU,2050,1360.4
NDP,,
NDP,2015,1019.4
NDP,2016,1019.4
NDP,2017,1019.4
NDP,2018,1019.4
NDP,2019,1019.4
NDP,2020,1019.4
NDP,2021,1019.4
NDP,2022,1019.4
NDP,2023,1019.4
NDP,2024,1019.4
NDP,2025,1019.4
NDP,2026,1019.4
NDP,2027,1019.4
NDP,2028,1019.4
NDP,2029,1019.4
NDP,2030,1019.4
NDP,2031,1019.4
NDP,2032,1019.4
NDP,2033,1019.4
NDP,2034,1019.4
NDP,2035,1019.4
NDP,2036,1019.4
NDP,2037,1019.4
NDP,2038,1019.4
NDP,2039,1019.4
NDP,2040,1019.4
NDP,2041,1019.4
NDP,2042,1019.4
NDP,2043,1019.4
NDP,2044,1019.4
NDP,2045,1019.4
NDP,2046,1019.4
NDP,2047,1019.4
NDP,2048,1019.4
NDP,2049,1019.4
NDP,2050,1019.4
