Strategy,Year,OutputActivityRatio
BAU,,
BAU,2015,0.104
BAU,2016,0.105
BAU,2017,0.106
BAU,2018,0.107
BAU,2019,0.109
BAU,2020,0.11
BAU,2021,0.111
BAU,2022,0.112
BAU,2023,0.113
BAU,2024,0.114
BAU,2025,0.116
BAU,2026,0.116
BAU,2027,0.117
BAU,2028,0.118
BAU,2029,0.118
BAU,2030,0.119
BAU,2031,0.121
BAU,2032,0.121
BAU,2033,0.122
BAU,2034,0.122
BAU,2035,0.123
BAU,2036,0.123
BAU,2037,0.125
BAU,2038,0.125
BAU,2039,0.126
BAU,2040,0.126
BAU,2041,0.126
BAU,2042,0.127
BAU,2043,0.127
BAU,2044,0.128
BAU,2045,0.127
BAU,2046,0.127
BAU,2047,0.128
BAU,2048,0.128
BAU,2049,0.129
BAU,2050,0.129
NDP,,
NDP,2015,0.104
NDP,2016,0.105
NDP,2017,0.106
NDP,2018,0.107
NDP,2019,0.109
NDP,2020,0.11
NDP,2021,0.111
NDP,2022,0.113
NDP,2023,0.115
NDP,2024,0.117
NDP,2025,0.121
NDP,2026,0.123
NDP,2027,0.125
NDP,2028,0.127
NDP,2029,0.129
NDP,2030,0.131
NDP,2031,0.134
NDP,2032,0.136
NDP,2033,0.139
NDP,2034,0.141
NDP,2035,0.143
NDP,2036,0.145
NDP,2037,0.149
NDP,2038,0.151
NDP,2039,0.153
NDP,2040,0.155
NDP,2041,0.157
NDP,2042,0.16
NDP,2043,0.161
NDP,2044,0.164
NDP,2045,0.166
NDP,2046,0.167
NDP,2047,0.17
NDP,2048,0.172
NDP,2049,0.175
NDP,2050,0.177
