Strategy,Year,SpecifiedAnnualDemand
BAU,2015,1.1902
BAU,2016,1.1984
BAU,2017,1.2088
BAU,2018,1.2143
BAU,2019,1.221
BAU,2020,1.231
BAU,2021,1.2428
BAU,2022,1.2491
BAU,2023,1.2475
BAU,2024,1.2508
BAU,2025,1.2504
BAU,2026,1.2559
BAU,2027,1.2603
BAU,2028,1.2565
BAU,2029,1.2603
BAU,2030,1.2571
BAU,2031,1.2616
BAU,2032,1.2652
BAU,2033,1.2607
BAU,2034,1.2647
BAU,2035,1.2635
BAU,2036,1.2667
BAU,2037,1.2703
BAU,2038,1.2648
BAU,2039,1.2682
BAU,2040,1.2664
BAU,2041,1.2694
BAU,2042,1.2701
BAU,2043,1.2666
BAU,2044,1.2694
BAU,2045,1.2666
BAU,2046,1.269
BAU,2047,1.2691
BAU,2048,1.2646
BAU,2049,1.267
BAU,2050,1.2639
NDP,2015,1.19
NDP,2016,1.198
NDP,2017,1.209
NDP,2018,1.214
NDP,2019,1.221
NDP,2020,1.231
NDP,2021,1.243
NDP,2022,1.343
NDP,2023,1.436
NDP,2024,1.533
NDP,2025,1.628
NDP,2026,1.728
NDP,2027,1.723
NDP,2028,1.71
NDP,2029,1.705
NDP,2030,1.694
NDP,2031,1.691
NDP,2032,1.686
NDP,2033,1.674
NDP,2034,1.67
NDP,2035,1.662
NDP,2036,1.657
NDP,2037,1.653
NDP,2038,1.641
NDP,2039,1.637
NDP,2040,1.629
NDP,2041,1.625
NDP,2042,1.62
NDP,2043,1.61
NDP,2044,1.606
NDP,2045,1.598
NDP,2046,1.594
NDP,2047,1.588
NDP,2048,1.578
NDP,2049,1.574
NDP,2050,1.567
