Strategy,Year,SpecifiedAnnualDemand
BAU,2015,0.0737
BAU,2016,0.0746
BAU,2017,0.0754
BAU,2018,0.0763
BAU,2019,0.0771
BAU,2020,0.0779
BAU,2021,0.0787
BAU,2022,0.0795
BAU,2023,0.0802
BAU,2024,0.081
BAU,2025,0.0817
BAU,2026,0.0824
BAU,2027,0.083
BAU,2028,0.0836
BAU,2029,0.0843
BAU,2030,0.0848
BAU,2031,0.0854
BAU,2032,0.086
BAU,2033,0.0865
BAU,2034,0.087
BAU,2035,0.0876
BAU,2036,0.0881
BAU,2037,0.0885
BAU,2038,0.089
BAU,2039,0.0894
BAU,2040,0.0899
BAU,2041,0.0903
BAU,2042,0.0906
BAU,2043,0.091
BAU,2044,0.0913
BAU,2045,0.0916
BAU,2046,0.0919
BAU,2047,0.0922
BAU,2048,0.0925
BAU,2049,0.0927
BAU,2050,0.0929
NDP,2015,0.0737
NDP,2016,0.0746
NDP,2017,0.0754
NDP,2018,0.0763
NDP,2019,0.0771
NDP,2020,0.0779
NDP,2021,0.0782
NDP,2022,0.0785
NDP,2023,0.0787
NDP,2024,0.0789
NDP,2025,0.0791
NDP,2026,0.0793
NDP,2027,0.0795
NDP,2028,0.0796
NDP,2029,0.0797
NDP,2030,0.0798
NDP,2031,0.0798
NDP,2032,0.0799
NDP,2033,0.0799
NDP,2034,0.0799
NDP,2035,0.08
NDP,2036,0.0799
NDP,2037,0.0799
NDP,2038,0.0799
NDP,2039,0.0798
NDP,2040,0.0797
NDP,2041,0.0796
NDP,2042,0.0795
NDP,2043,0.0793
NDP,2044,0.0791
NDP,2045,0.079
NDP,2046,0.0787
NDP,2047,0.0785
NDP,2048,0.0783
NDP,2049,0.078
NDP,2050,0.0777
