Strategy,Year,SpecifiedAnnualDemand
BAU,2015,18.679
BAU,2016,31.7
BAU,2017,34.283
BAU,2018,32.952
BAU,2019,32.955
BAU,2020,33.179
BAU,2021,35
BAU,2022,35.85
BAU,2023,35.612
BAU,2024,38.039
BAU,2025,38.879
BAU,2026,40.065
BAU,2027,37.666
BAU,2028,37.257
BAU,2029,43.104
BAU,2030,43.823
BAU,2031,43.823
BAU,2032,41.432
BAU,2033,43.823
BAU,2034,43.823
BAU,2035,41.864
BAU,2036,43.635
BAU,2037,43.823
BAU,2038,43.375
BAU,2039,43.823
BAU,2040,43.823
BAU,2041,43.823
BAU,2042,43.823
BAU,2043,43.823
BAU,2044,44.054
BAU,2045,44.054
BAU,2046,44.054
BAU,2047,44.574
BAU,2048,45.654
BAU,2049,46.575
BAU,2050,47.498
NDP,2015,18.679
NDP,2016,31.7
NDP,2017,34.283
NDP,2018,32.952
NDP,2019,32.131
NDP,2020,34.2
NDP,2021,35
NDP,2022,36.013
NDP,2023,37.026
NDP,2024,37.765
NDP,2025,39.052
NDP,2026,39.228
NDP,2027,40.919
NDP,2028,42.091
NDP,2029,43.104
NDP,2030,43.823
NDP,2031,43.823
NDP,2032,43.823
NDP,2033,43.823
NDP,2034,44.16
NDP,2035,46.499
NDP,2036,48.98
NDP,2037,50.277
NDP,2038,50.635
NDP,2039,50.992
NDP,2040,51.35
NDP,2041,51.709
NDP,2042,52.067
NDP,2043,52.426
NDP,2044,53.352
NDP,2045,55.335
NDP,2046,57.208
NDP,2047,59.1
NDP,2048,61.238
NDP,2049,62.779
NDP,2050,64.083
