Strategy,Year,SpecifiedAnnualDemand
BAU,2015,0.0584
BAU,2016,0.0632
BAU,2017,0.0685
BAU,2018,0.0742
BAU,2019,0.0803
BAU,2020,0.087
BAU,2021,0.094
BAU,2022,0.1015
BAU,2023,0.1096
BAU,2024,0.1184
BAU,2025,0.1278
BAU,2026,0.1368
BAU,2027,0.1464
BAU,2028,0.1566
BAU,2029,0.1676
BAU,2030,0.1793
BAU,2031,0.1919
BAU,2032,0.2053
BAU,2033,0.2197
BAU,2034,0.235
BAU,2035,0.2515
BAU,2036,0.2691
BAU,2037,0.2879
BAU,2038,0.3081
BAU,2039,0.3296
BAU,2040,0.3527
BAU,2041,0.3774
BAU,2042,0.4038
BAU,2043,0.4321
BAU,2044,0.4623
BAU,2045,0.4947
BAU,2046,0.5293
BAU,2047,0.5664
BAU,2048,0.606
BAU,2049,0.6485
BAU,2050,0.6939
NDP,2015,0.0584
NDP,2016,0.0632
NDP,2017,0.0685
NDP,2018,0.0742
NDP,2019,0.0803
NDP,2020,0.087
NDP,2021,0.0895
NDP,2022,0.0921
NDP,2023,0.0948
NDP,2024,0.0975
NDP,2025,0.1004
NDP,2026,0.1033
NDP,2027,0.1063
NDP,2028,0.1094
NDP,2029,0.1125
NDP,2030,0.1158
NDP,2031,0.1192
NDP,2032,0.1226
NDP,2033,0.1262
NDP,2034,0.1298
NDP,2035,0.1336
NDP,2036,0.1375
NDP,2037,0.1415
NDP,2038,0.1456
NDP,2039,0.1498
NDP,2040,0.1541
NDP,2041,0.1586
NDP,2042,0.1632
NDP,2043,0.1679
NDP,2044,0.1728
NDP,2045,0.1778
NDP,2046,0.183
NDP,2047,0.1883
NDP,2048,0.1937
NDP,2049,0.1993
NDP,2050,0.2051
