Strategy,Year,TotalTechnologyAnnualActivityLowerLimit
BAU,,
BAU,2015,9.805
BAU,2016,16.34732
BAU,2017,17.672
BAU,2018,17.03932
BAU,2019,17.07592
BAU,2020,17.22583
BAU,2021,18.17505
BAU,2022,18.63905
BAU,2023,18.5599
BAU,2024,19.8167
BAU,2025,20.28152
BAU,2026,20.91818
BAU,2027,19.76373
BAU,2028,19.60527
BAU,2029,22.57889
BAU,2030,22.99067
BAU,2031,23.04673
BAU,2032,21.90917
BAU,2033,23.16611
BAU,2034,23.23192
BAU,2035,22.32146
BAU,2036,23.28088
BAU,2037,23.45332
BAU,2038,23.31093
BAU,2039,23.62388
BAU,2040,23.71635
BAU,2041,23.81652
BAU,2042,23.9216
BAU,2043,24.03381
BAU,2044,24.26939
BAU,2045,24.39557
BAU,2046,24.53264
BAU,2047,24.93688
BAU,2048,25.63059
BAU,2049,26.25612
BAU,2050,26.89281
NDP,,
NDP,2015,9.805
NDP,2016,16.347319
NDP,2017,17.672002
NDP,2018,17.039315
NDP,2019,17.075921
NDP,2020,17.225826
NDP,2021,18.147491
NDP,2022,18.662156
NDP,2023,19.175822
NDP,2024,19.553487
NDP,2025,20.205152
NDP,2026,20.301817
NDP,2027,21.156483
NDP,2028,21.750148
NDP,2029,22.265813
NDP,2030,22.633479
NDP,2031,22.650182
NDP,2032,22.667195
NDP,2033,22.682529
NDP,2034,22.87019
NDP,2035,24.05719
NDP,2036,25.316538
NDP,2037,25.985244
NDP,2038,26.183319
NDP,2039,26.382772
NDP,2040,26.582616
NDP,2041,26.783861
NDP,2042,26.98552
NDP,2043,27.187603
NDP,2044,27.674124
NDP,2045,28.690095
NDP,2046,29.652529
NDP,2047,30.62444
NDP,2048,31.718841
NDP,2049,32.517747
NDP,2050,33.198172
