Strategy,Year,Technology,EmissionActivityRatio
BAU,,Water without treatment from industries and services,
BAU,2015,Water without treatment from industries and services,0.325
BAU,2016,Water without treatment from industries and services,0.305
BAU,2017,Water without treatment from industries and services,0.286
BAU,2018,Water without treatment from industries and services,0.268
BAU,2019,Water without treatment from industries and services,0.251
BAU,2020,Water without treatment from industries and services,0.235
BAU,2021,Water without treatment from industries and services,0.221
BAU,2022,Water without treatment from industries and services,0.207
BAU,2023,Water without treatment from industries and services,0.195
BAU,2024,Water without treatment from industries and services,0.183
BAU,2025,Water without treatment from industries and services,0.172
BAU,2026,Water without treatment from industries and services,0.163
BAU,2027,Water without treatment from industries and services,0.154
BAU,2028,Water without treatment from industries and services,0.146
BAU,2029,Water without treatment from industries and services,0.138
BAU,2030,Water without treatment from industries and services,0.131
BAU,2031,Water without treatment from industries and services,0.124
BAU,2032,Water without treatment from industries and services,0.117
BAU,2033,Water without treatment from industries and services,0.111
BAU,2034,Water without treatment from industries and services,0.105
BAU,2035,Water without treatment from industries and services,0.099
BAU,2036,Water without treatment from industries and services,0.094
BAU,2037,Water without treatment from industries and services,0.088
BAU,2038,Water without treatment from industries and services,0.084
BAU,2039,Water without treatment from industries and services,0.079
BAU,2040,Water without treatment from industries and services,0.075
BAU,2041,Water without treatment from industries and services,0.071
BAU,2042,Water without treatment from industries and services,0.067
BAU,2043,Water without treatment from industries and services,0.063
BAU,2044,Water without treatment from industries and services,0.059
BAU,2045,Water without treatment from industries and services,0.056
BAU,2046,Water without treatment from industries and services,0.053
BAU,2047,Water without treatment from industries and services,0.05
BAU,2048,Water without treatment from industries and services,0.047
BAU,2049,Water without treatment from industries and services,0.045
BAU,2050,Water without treatment from industries and services,0.042
BAU,,Water without treatment from human consumption,
BAU,2015,Water without treatment from human consumption,3.078
BAU,2016,Water without treatment from human consumption,3.088
BAU,2017,Water without treatment from human consumption,3.099
BAU,2018,Water without treatment from human consumption,3.11
BAU,2019,Water without treatment from human consumption,3.122
BAU,2020,Water without treatment from human consumption,3.134
BAU,2021,Water without treatment from human consumption,3.147
BAU,2022,Water without treatment from human consumption,3.161
BAU,2023,Water without treatment from human consumption,3.175
BAU,2024,Water without treatment from human consumption,3.19
BAU,2025,Water without treatment from human consumption,3.205
BAU,2026,Water without treatment from human consumption,3.221
BAU,2027,Water without treatment from human consumption,3.238
BAU,2028,Water without treatment from human consumption,3.255
BAU,2029,Water without treatment from human consumption,3.273
BAU,2030,Water without treatment from human consumption,3.292
BAU,2031,Water without treatment from human consumption,3.31
BAU,2032,Water without treatment from human consumption,3.33
BAU,2033,Water without treatment from human consumption,3.35
BAU,2034,Water without treatment from human consumption,3.369
BAU,2035,Water without treatment from human consumption,3.389
BAU,2036,Water without treatment from human consumption,3.41
BAU,2037,Water without treatment from human consumption,3.431
BAU,2038,Water without treatment from human consumption,3.452
BAU,2039,Water without treatment from human consumption,3.475
BAU,2040,Water without treatment from human consumption,3.497
BAU,2041,Water without treatment from human consumption,3.521
BAU,2042,Water without treatment from human consumption,3.545
BAU,2043,Water without treatment from human consumption,3.569
BAU,2044,Water without treatment from human consumption,3.594
BAU,2045,Water without treatment from human consumption,3.62
BAU,2046,Water without treatment from human consumption,3.647
BAU,2047,Water without treatment from human consumption,3.674
BAU,2048,Water without treatment from human consumption,3.701
BAU,2049,Water without treatment from human consumption,3.73
