Strategy,Year,FixedCost
BAU,,
BAU,2015,3382
BAU,2016,3382
BAU,2017,3382
BAU,2018,3382
BAU,2019,3382
BAU,2020,3382
BAU,2021,3382
BAU,2022,3397.1
BAU,2023,3412.3
BAU,2024,3427.4
BAU,2025,3442.6
BAU,2026,3457.8
BAU,2027,3472.9
BAU,2028,3488.1
BAU,2029,3503.2
BAU,2030,3518.4
BAU,2031,3533.6
BAU,2032,3548.7
BAU,2033,3563.9
BAU,2034,3579
BAU,2035,3594.2
BAU,2036,3609.4
BAU,2037,3624.5
BAU,2038,3639.7
BAU,2039,3654.8
BAU,2040,3670
BAU,2041,3685.2
BAU,2042,3700.3
BAU,2043,3715.5
BAU,2044,3730.7
BAU,2045,3745.8
BAU,2046,3761
BAU,2047,3776.1
BAU,2048,3791.3
BAU,2049,3806.5
BAU,2050,3821.6
NDP,,
NDP,2015,3382
NDP,2016,3382
NDP,2017,3382
NDP,2018,3382
NDP,2019,3382
NDP,2020,3382
NDP,2021,3382
NDP,2022,3422.8
NDP,2023,3463.6
NDP,2024,3504.4
NDP,2025,3545.2
NDP,2026,3586
NDP,2027,3626.9
NDP,2028,3667.7
NDP,2029,3708.5
NDP,2030,3749.3
NDP,2031,3790.1
NDP,2032,3830.9
NDP,2033,3871.8
NDP,2034,3912.6
NDP,2035,3953.4
NDP,2036,3994.2
NDP,2037,4035
NDP,2038,4075.8
NDP,2039,4116.7
NDP,2040,4157.5
NDP,2041,4198.3
NDP,2042,4239.1
NDP,2043,4279.9
NDP,2044,4320.7
NDP,2045,4361.6
NDP,2046,4402.4
NDP,2047,4443.2
NDP,2048,4484
NDP,2049,4524.8
NDP,2050,4565.6
