Year,Fuel,SpecifiedAnnualDemand
2015,Coffee demand,0.023001
2016,Coffee demand,0.023278
2017,Coffee demand,0.02355
2018,Coffee demand,0.023816
2019,Coffee demand,0.024076
2020,Coffee demand,0.024329
2021,Coffee demand,0.024576
2022,Coffee demand,0.024816
2023,Coffee demand,0.025048
2024,Coffee demand,0.025274
2025,Coffee demand,0.025493
2026,Coffee demand,0.025704
2027,Coffee demand,0.025909
2028,Coffee demand,0.026108
2029,Coffee demand,0.026299
2030,Coffee demand,0.026484
2031,Coffee demand,0.026663
2032,Coffee demand,0.026836
2033,Coffee demand,0.027002
2034,Coffee demand,0.02717
2035,Coffee demand,0.027332
2036,Coffee demand,0.027488
2037,Coffee demand,0.027638
2038,Coffee demand,0.027781
2039,Coffee demand,0.027918
2040,Coffee demand,0.028048
2041,Coffee demand,0.028172
2042,Coffee demand,0.02829
2043,Coffee demand,0.028402
2044,Coffee demand,0.028507
2045,Coffee demand,0.028605
2046,Coffee demand,0.028697
2047,Coffee demand,0.028783
2048,Coffee demand,0.028863
2049,Coffee demand,0.028936
2050,Coffee demand,0.029003
2015,Oil palm demand,0.060403
2016,Oil palm demand,0.06113
2017,Oil palm demand,0.061844
2018,Oil palm demand,0.062543
2019,Oil palm demand,0.063225
2020,Oil palm demand,0.06389
2021,Oil palm demand,0.064538
2022,Oil palm demand,0.065167
2023,Oil palm demand,0.065778
2024,Oil palm demand,0.06637
2025,Oil palm demand,0.066945
2026,Oil palm demand,0.067501
2027,Oil palm demand,0.068039
2028,Oil palm demand,0.06856
2029,Oil palm demand,0.069063
2030,Oil palm demand,0.069549
2031,Oil palm demand,0.070018
2032,Oil palm demand,0.070472
2033,Oil palm demand,0.070909
2034,Oil palm demand,0.071351
2035,Oil palm demand,0.071776
2036,Oil palm demand,0.072185
2037,Oil palm demand,0.072578
2038,Oil palm demand,0.072954
2039,Oil palm demand,0.073313
2040,Oil palm demand,0.073656
2041,Oil palm demand,0.073982
2042,Oil palm demand,0.074292
2043,Oil palm demand,0.074584
2044,Oil palm demand,0.07486
2045,Oil palm demand,0.075119
2046,Oil palm demand,0.075361
2047,Oil palm demand,0.075586
2048,Oil palm demand,0.075794
2049,Oil palm demand,0.075987
2050,Oil palm demand,0.076163
2015,Banana demand,0.136801
2016,Banana demand,0.138447
2017,Banana demand,0.140063
2018,Banana demand,0.141646
2019,Banana demand,0.143192
2020,Banana demand,0.144699
2021,Banana demand,0.146166
2022,Banana demand,0.147591
2023,Banana demand,0.148974
2024,Banana demand,0.150316
