Year,Fuel,SpecifiedAnnualDemand
2015,Milk demand,1.044149
2016,Milk demand,1.056713
2017,Milk demand,1.069054
2018,Milk demand,1.081135
2019,Milk demand,1.092934
2020,Milk demand,1.104436
2021,Milk demand,1.115629
2022,Milk demand,1.126506
2023,Milk demand,1.137064
2024,Milk demand,1.147307
2025,Milk demand,1.157236
2026,Milk demand,1.166852
2027,Milk demand,1.176154
2028,Milk demand,1.18515
2029,Milk demand,1.193845
2030,Milk demand,1.202249
2031,Milk demand,1.210366
2032,Milk demand,1.218203
2033,Milk demand,1.225763
2034,Milk demand,1.2334
2035,Milk demand,1.240751
2036,Milk demand,1.247819
2037,Milk demand,1.254605
2038,Milk demand,1.261106
2039,Milk demand,1.267322
2040,Milk demand,1.27325
2041,Milk demand,1.278888
2042,Milk demand,1.284236
2043,Milk demand,1.289293
2044,Milk demand,1.294058
2045,Milk demand,1.298531
2046,Milk demand,1.302713
2047,Milk demand,1.306606
2048,Milk demand,1.310213
2049,Milk demand,1.313539
2050,Milk demand,1.31659
2015,Beef demand,0.068714
2016,Beef demand,0.069541
2017,Beef demand,0.070353
2018,Beef demand,0.071148
2019,Beef demand,0.071925
2020,Beef demand,0.072682
2021,Beef demand,0.073418
2022,Beef demand,0.074134
2023,Beef demand,0.074829
2024,Beef demand,0.075503
2025,Beef demand,0.076157
2026,Beef demand,0.076789
2027,Beef demand,0.077401
2028,Beef demand,0.077993
2029,Beef demand,0.078566
2030,Beef demand,0.079119
2031,Beef demand,0.079653
2032,Beef demand,0.080169
2033,Beef demand,0.080666
2034,Beef demand,0.081169
2035,Beef demand,0.081653
2036,Beef demand,0.082118
2037,Beef demand,0.082564
2038,Beef demand,0.082992
2039,Beef demand,0.083401
2040,Beef demand,0.083791
2041,Beef demand,0.084162
2042,Beef demand,0.084514
2043,Beef demand,0.084847
2044,Beef demand,0.085161
2045,Beef demand,0.085455
2046,Beef demand,0.08573
2047,Beef demand,0.085986
2048,Beef demand,0.086224
2049,Beef demand,0.086443
2050,Beef demand,0.086643
