Strategy,Year,SpecifiedAnnualDemand
BAU,2015,0.518
BAU,2016,0.524
BAU,2017,0.53
BAU,2018,0.536
BAU,2019,0.542
BAU,2020,0.548
BAU,2021,0.554
BAU,2022,0.559
BAU,2023,0.564
BAU,2024,0.569
BAU,2025,0.574
BAU,2026,0.579
BAU,2027,0.584
BAU,2028,0.588
BAU,2029,0.592
BAU,2030,0.597
BAU,2031,0.601
BAU,2032,0.605
BAU,2033,0.608
BAU,2034,0.612
BAU,2035,0.616
BAU,2036,0.619
BAU,2037,0.623
BAU,2038,0.626
BAU,2039,0.629
BAU,2040,0.632
BAU,2041,0.635
BAU,2042,0.637
BAU,2043,0.64
BAU,2044,0.642
BAU,2045,0.644
BAU,2046,0.646
BAU,2047,0.648
BAU,2048,0.65
BAU,2049,0.652
BAU,2050,0.653
NDP,2015,0.521
NDP,2016,0.529
NDP,2017,0.538
NDP,2018,0.546
NDP,2019,0.554
NDP,2020,0.562
NDP,2021,0.57
NDP,2022,0.596
NDP,2023,0.598
NDP,2024,0.6
NDP,2025,0.636
NDP,2026,0.688
NDP,2027,0.758
NDP,2028,0.804
NDP,2029,0.864
NDP,2030,0.913
NDP,2031,0.949
NDP,2032,1.006
NDP,2033,1.088
NDP,2034,1.143
NDP,2035,1.182
NDP,2036,1.223
NDP,2037,1.29
NDP,2038,1.33
NDP,2039,1.378
NDP,2040,1.427
NDP,2041,1.462
NDP,2042,1.502
NDP,2043,1.517
NDP,2044,1.599
NDP,2045,1.643
NDP,2046,1.662
NDP,2047,1.699
NDP,2048,1.741
NDP,2049,1.815
NDP,2050,1.861
