Year,Technology,VariableCost
,Beef Exports,
2015,Beef Exports,-5210
2016,Beef Exports,-5178.9
2017,Beef Exports,-5147.8
2018,Beef Exports,-5116.6
2019,Beef Exports,-5085.5
2020,Beef Exports,-5054.4
2021,Beef Exports,-5023.3
2022,Beef Exports,-4992.1
2023,Beef Exports,-4961
2024,Beef Exports,-4929.9
2025,Beef Exports,-4898.8
2026,Beef Exports,-4867.6
2027,Beef Exports,-4836.5
2028,Beef Exports,-4805.4
2029,Beef Exports,-4774.3
2030,Beef Exports,-4743.1
2031,Beef Exports,-4712
2032,Beef Exports,-4680.9
2033,Beef Exports,-4649.8
2034,Beef Exports,-4618.6
2035,Beef Exports,-4587.5
2036,Beef Exports,-4556.4
2037,Beef Exports,-4525.3
2038,Beef Exports,-4494.1
2039,Beef Exports,-4463
2040,Beef Exports,-4431.9
2041,Beef Exports,-4400.8
2042,Beef Exports,-4369.6
2043,Beef Exports,-4338.5
2044,Beef Exports,-4307.4
2045,Beef Exports,-4276.3
2046,Beef Exports,-4245.1
2047,Beef Exports,-4214
2048,Beef Exports,-4182.9
2049,Beef Exports,-4151.8
2050,Beef Exports,-4120.6
,Milk Exports ,
2015,Milk Exports ,-1530
2016,Milk Exports ,-1550
2017,Milk Exports ,-1580
2018,Milk Exports ,-1630
2019,Milk Exports ,-1670
2020,Milk Exports ,-1710
2021,Milk Exports ,-1750
2022,Milk Exports ,-1790
2023,Milk Exports ,-1830
2024,Milk Exports ,-1870
2025,Milk Exports ,-1910
2026,Milk Exports ,-1950
2027,Milk Exports ,-1990
2028,Milk Exports ,-2030
2029,Milk Exports ,-2070
2030,Milk Exports ,-2110
2031,Milk Exports ,-2150
2032,Milk Exports ,-2190
2033,Milk Exports ,-2230
2034,Milk Exports ,-2270
2035,Milk Exports ,-2310
2036,Milk Exports ,-2350
2037,Milk Exports ,-2390
2038,Milk Exports ,-2430
2039,Milk Exports ,-2470
2040,Milk Exports ,-2510
2041,Milk Exports ,-2550
2042,Milk Exports ,-2590
2043,Milk Exports ,-2630
2044,Milk Exports ,-2670
2045,Milk Exports ,-2710
2046,Milk Exports ,-2750
2047,Milk Exports ,-2790
2048,Milk Exports ,-2830
2049,Milk Exports ,-2870
2050,Milk Exports ,-2910
