Year,Fuel,SpecifiedAnnualDemand
2015,Rice exports,0.005
2016,Rice exports,0.005
2017,Rice exports,0.005
2018,Rice exports,0.005
2019,Rice exports,0.005
2020,Rice exports,0.005
2021,Rice exports,0.005
2022,Rice exports,0.005
2023,Rice exports,0.005
2024,Rice exports,0.005
2025,Rice exports,0.005
2026,Rice exports,0.005
2027,Rice exports,0.005
2028,Rice exports,0.005
2029,Rice exports,0.005
2030,Rice exports,0.005
2031,Rice exports,0.005
2032,Rice exports,0.005
2033,Rice exports,0.005
2034,Rice exports,0.005
2035,Rice exports,0.005
2036,Rice exports,0.005
2037,Rice exports,0.005
2038,Rice exports,0.005
2039,Rice exports,0.005
2040,Rice exports,0.005
2041,Rice exports,0.005
2042,Rice exports,0.005
2043,Rice exports,0.005
2044,Rice exports,0.005
2045,Rice exports,0.005
2046,Rice exports,0.005
2047,Rice exports,0.005
2048,Rice exports,0.005
2049,Rice exports,0.005
2050,Rice exports,0.005
2015,Molasses exports,0.03
2016,Molasses exports,0.03
2017,Molasses exports,0.031
2018,Molasses exports,0.031
2019,Molasses exports,0.031
2020,Molasses exports,0.032
2021,Molasses exports,0.032
2022,Molasses exports,0.032
2023,Molasses exports,0.032
2024,Molasses exports,0.033
2025,Molasses exports,0.033
2026,Molasses exports,0.033
2027,Molasses exports,0.034
2028,Molasses exports,0.034
2029,Molasses exports,0.034
2030,Molasses exports,0.035
2031,Molasses exports,0.035
2032,Molasses exports,0.036
2033,Molasses exports,0.036
2034,Molasses exports,0.036
2035,Molasses exports,0.037
2036,Molasses exports,0.037
2037,Molasses exports,0.037
2038,Molasses exports,0.038
2039,Molasses exports,0.038
2040,Molasses exports,0.038
2041,Molasses exports,0.039
2042,Molasses exports,0.039
2043,Molasses exports,0.04
2044,Molasses exports,0.04
2045,Molasses exports,0.04
2046,Molasses exports,0.041
2047,Molasses exports,0.041
2048,Molasses exports,0.042
2049,Molasses exports,0.042
2050,Molasses exports,0.042
2015,Coffee exports,0.068
2016,Coffee exports,0.069
2017,Coffee exports,0.069
2018,Coffee exports,0.07
2019,Coffee exports,0.071
2020,Coffee exports,0.071
2021,Coffee exports,0.072
2022,Coffee exports,0.073
2023,Coffee exports,0.074
2024,Coffee exports,0.074
2025,Coffee exports,0.075
2026,Coffee exports,0.076
2027,Coffee exports,0.077
2028,Coffee exports,0.077
2029,Coffee exports,0.078
2030,Coffee exports,0.079
2031,Coffee exports,0.08
2032,Coffee exports,0.081
2033,Coffee exports,0.081
2034,Coffee exports,0.082
2035,Coffee exports,0.083
2036,Coffee exports,0.084
2037,Coffee exports,0.085
2038,Coffee exports,0.085
2039,Coffee exports,0.086
2040,Coffee exports,0.087
2041,Coffee exports,0.088
2042,Coffee exports,0.089
2043,Coffee exports,0.09
2044,Coffee exports,0.091
2045,Coffee exports,0.092
2046,Coffee exports,0.093
2047,Coffee exports,0.093
2048,Coffee exports,0.094
2049,Coffee exports,0.095
2050,Coffee exports,0.096
2015,Oil palm exports,0.159
2016,Oil palm exports,0.16
2017,Oil palm exports,0.161
2018,Oil palm exports,0.161
2019,Oil palm exports,0.162
2020,Oil palm exports,0.163
2021,Oil palm exports,0.164
2022,Oil palm exports,0.165
2023,Oil palm exports,0.165
2024,Oil palm exports,0.166
2025,Oil palm exports,0.167
2026,Oil palm exports,0.168
2027,Oil palm exports,0.169
2028,Oil palm exports,0.17
2029,Oil palm exports,0.17
2030,Oil palm exports,0.171
2031,Oil palm exports,0.172
2032,Oil palm exports,0.173
2033,Oil palm exports,0.174
2034,Oil palm exports,0.175
2035,Oil palm exports,0.176
2036,Oil palm exports,0.177
2037,Oil palm exports,0.177
2038,Oil palm exports,0.178
2039,Oil palm exports,0.179
2040,Oil palm exports,0.18
2041,Oil palm exports,0.181
2042,Oil palm exports,0.182
2043,Oil palm exports,0.183
2044,Oil palm exports,0.184
2045,Oil palm exports,0.185
2046,Oil palm exports,0.186
2047,Oil palm exports,0.187
2048,Oil palm exports,0.187
2049,Oil palm exports,0.188
2050,Oil palm exports,0.189
2015,Sugar exports,0.23
2016,Sugar exports,0.232
2017,Sugar exports,0.235
2018,Sugar exports,0.237
2019,Sugar exports,0.239
2020,Sugar exports,0.242
2021,Sugar exports,0.244
2022,Sugar exports,0.247
2023,Sugar exports,0.249
2024,Sugar exports,0.252
2025,Sugar exports,0.254
2026,Sugar exports,0.257
2027,Sugar exports,0.259
2028,Sugar exports,0.262
2029,Sugar exports,0.264
2030,Sugar exports,0.267
2031,Sugar exports,0.27
2032,Sugar exports,0.272
2033,Sugar exports,0.275
2034,Sugar exports,0.278
2035,Sugar exports,0.281
2036,Sugar exports,0.283
2037,Sugar exports,0.286
2038,Sugar exports,0.289
2039,Sugar exports,0.292
2040,Sugar exports,0.295
2041,Sugar exports,0.298
2042,Sugar exports,0.301
2043,Sugar exports,0.304
2044,Sugar exports,0.307
2045,Sugar exports,0.31
2046,Sugar exports,0.313
2047,Sugar exports,0.316
2048,Sugar exports,0.319
2049,Sugar exports,0.323
2050,Sugar exports,0.326
2015,Banana exports,1.96
2016,Banana exports,1.97
2017,Banana exports,1.98
2018,Banana exports,1.99
2019,Banana exports,1.999
2020,Banana exports,2.009
2021,Banana exports,2.02
2022,Banana exports,2.03
2023,Banana exports,2.04
2024,Banana exports,2.05
2025,Banana exports,2.06
2026,Banana exports,2.071
2027,Banana exports,2.081
2028,Banana exports,2.091
2029,Banana exports,2.102
2030,Banana exports,2.112
2031,Banana exports,2.123
2032,Banana exports,2.133
2033,Banana exports,2.144
2034,Banana exports,2.155
2035,Banana exports,2.166
2036,Banana exports,2.176
2037,Banana exports,2.187
2038,Banana exports,2.198
2039,Banana exports,2.209
2040,Banana exports,2.22
2041,Banana exports,2.231
2042,Banana exports,2.243
2043,Banana exports,2.254
2044,Banana exports,2.265
2045,Banana exports,2.276
2046,Banana exports,2.288
2047,Banana exports,2.299
2048,Banana exports,2.311
2049,Banana exports,2.322
2050,Banana exports,2.334
2015,Pineapple exports,1.85
2016,Pineapple exports,1.869
2017,Pineapple exports,1.887
2018,Pineapple exports,1.906
2019,Pineapple exports,1.925
2020,Pineapple exports,1.944
2021,Pineapple exports,1.964
2022,Pineapple exports,1.983
2023,Pineapple exports,2.003
2024,Pineapple exports,2.023
2025,Pineapple exports,2.044
2026,Pineapple exports,2.064
2027,Pineapple exports,2.085
2028,Pineapple exports,2.105
2029,Pineapple exports,2.127
2030,Pineapple exports,2.148
2031,Pineapple exports,2.169
2032,Pineapple exports,2.191
2033,Pineapple exports,2.213
2034,Pineapple exports,2.235
2035,Pineapple exports,2.257
2036,Pineapple exports,2.28
2037,Pineapple exports,2.303
2038,Pineapple exports,2.326
2039,Pineapple exports,2.349
2040,Pineapple exports,2.372
2041,Pineapple exports,2.396
2042,Pineapple exports,2.42
2043,Pineapple exports,2.444
2044,Pineapple exports,2.469
2045,Pineapple exports,2.494
2046,Pineapple exports,2.518
2047,Pineapple exports,2.544
2048,Pineapple exports,2.569
2049,Pineapple exports,2.595
2050,Pineapple exports,2.621
