Year,Technology,VariableCost
,CRIMPORTCAR_VACU,
2015,CRIMPORTCAR_VACU,4559.2
2016,CRIMPORTCAR_VACU,4060.9
2017,CRIMPORTCAR_VACU,4387.3
2018,CRIMPORTCAR_VACU,4195.1
2019,CRIMPORTCAR_VACU,4550
2020,CRIMPORTCAR_VACU,4517
2021,CRIMPORTCAR_VACU,4484.3
2022,CRIMPORTCAR_VACU,4451.8
2023,CRIMPORTCAR_VACU,4419.5
2024,CRIMPORTCAR_VACU,4387.4
2025,CRIMPORTCAR_VACU,4355.6
2026,CRIMPORTCAR_VACU,4324.5
2027,CRIMPORTCAR_VACU,4293.4
2028,CRIMPORTCAR_VACU,4262.2
2029,CRIMPORTCAR_VACU,4231.1
2030,CRIMPORTCAR_VACU,4200
2031,CRIMPORTCAR_VACU,4168.9
2032,CRIMPORTCAR_VACU,4137.8
2033,CRIMPORTCAR_VACU,4106.6
2034,CRIMPORTCAR_VACU,4075.5
2035,CRIMPORTCAR_VACU,4044.4
2036,CRIMPORTCAR_VACU,4013.3
2037,CRIMPORTCAR_VACU,3982.1
2038,CRIMPORTCAR_VACU,3951
2039,CRIMPORTCAR_VACU,3919.9
2040,CRIMPORTCAR_VACU,3888.8
2041,CRIMPORTCAR_VACU,3857.6
2042,CRIMPORTCAR_VACU,3826.5
2043,CRIMPORTCAR_VACU,3795.4
2044,CRIMPORTCAR_VACU,3764.3
2045,CRIMPORTCAR_VACU,3733.1
2046,CRIMPORTCAR_VACU,3702
2047,CRIMPORTCAR_VACU,3670.9
2048,CRIMPORTCAR_VACU,3639.8
2049,CRIMPORTCAR_VACU,3608.6
2050,CRIMPORTCAR_VACU,3577.5
,CRIMPORTLECHE,
2015,CRIMPORTLECHE,2760
2016,CRIMPORTLECHE,2690
2017,CRIMPORTLECHE,2780
2018,CRIMPORTLECHE,3050
2019,CRIMPORTLECHE,2930
2020,CRIMPORTLECHE,2933
2021,CRIMPORTLECHE,2936
2022,CRIMPORTLECHE,2939
2023,CRIMPORTLECHE,2942
2024,CRIMPORTLECHE,2945
2025,CRIMPORTLECHE,2948
2026,CRIMPORTLECHE,2951
2027,CRIMPORTLECHE,2954
2028,CRIMPORTLECHE,2957
2029,CRIMPORTLECHE,2960
2030,CRIMPORTLECHE,2963
2031,CRIMPORTLECHE,2966
2032,CRIMPORTLECHE,2969
2033,CRIMPORTLECHE,2972
2034,CRIMPORTLECHE,2975
2035,CRIMPORTLECHE,2978
2036,CRIMPORTLECHE,2981
2037,CRIMPORTLECHE,2984
2038,CRIMPORTLECHE,2987
2039,CRIMPORTLECHE,2990
2040,CRIMPORTLECHE,2993
2041,CRIMPORTLECHE,2996
2042,CRIMPORTLECHE,2999
2043,CRIMPORTLECHE,3002
2044,CRIMPORTLECHE,3005
2045,CRIMPORTLECHE,3008
2046,CRIMPORTLECHE,3011
2047,CRIMPORTLECHE,3014
2048,CRIMPORTLECHE,3017
2049,CRIMPORTLECHE,3020
2050,CRIMPORTLECHE,3023
