Year,Technology,VariableCost
,Molasses Imports,
2015,Molasses Imports,
2016,Molasses Imports,
2017,Molasses Imports,
2018,Molasses Imports,
2019,Molasses Imports,
2020,Molasses Imports,
2021,Molasses Imports,
2022,Molasses Imports,
2023,Molasses Imports,
2024,Molasses Imports,
2025,Molasses Imports,
2026,Molasses Imports,
2027,Molasses Imports,
2028,Molasses Imports,
2029,Molasses Imports,
2030,Molasses Imports,
2031,Molasses Imports,
2032,Molasses Imports,
2033,Molasses Imports,
2034,Molasses Imports,
2035,Molasses Imports,
2036,Molasses Imports,
2037,Molasses Imports,
2038,Molasses Imports,
2039,Molasses Imports,
2040,Molasses Imports,
2041,Molasses Imports,
2042,Molasses Imports,
2043,Molasses Imports,
2044,Molasses Imports,
2045,Molasses Imports,
2046,Molasses Imports,
2047,Molasses Imports,
2048,Molasses Imports,
2049,Molasses Imports,
2050,Molasses Imports,
,Pineapple Imports,
2015,Pineapple Imports,430
2016,Pineapple Imports,426.4
2017,Pineapple Imports,422.8
2018,Pineapple Imports,419.2
2019,Pineapple Imports,415.6
2020,Pineapple Imports,412
2021,Pineapple Imports,408.4
2022,Pineapple Imports,404.8
2023,Pineapple Imports,401.2
2024,Pineapple Imports,397.6
2025,Pineapple Imports,394
2026,Pineapple Imports,390.4
2027,Pineapple Imports,386.8
2028,Pineapple Imports,383.2
2029,Pineapple Imports,379.6
2030,Pineapple Imports,376
2031,Pineapple Imports,372.4
2032,Pineapple Imports,368.8
2033,Pineapple Imports,365.2
2034,Pineapple Imports,361.6
2035,Pineapple Imports,358
2036,Pineapple Imports,354.4
2037,Pineapple Imports,350.8
2038,Pineapple Imports,347.2
2039,Pineapple Imports,343.6
2040,Pineapple Imports,340
2041,Pineapple Imports,336.4
2042,Pineapple Imports,332.8
2043,Pineapple Imports,329.2
2044,Pineapple Imports,325.6
2045,Pineapple Imports,322
2046,Pineapple Imports,318.4
2047,Pineapple Imports,314.8
2048,Pineapple Imports,311.2
2049,Pineapple Imports,307.6
2050,Pineapple Imports,304
,Rice Imports,
2015,Rice Imports,420
2016,Rice Imports,422
2017,Rice Imports,424
2018,Rice Imports,426
2019,Rice Imports,428
2020,Rice Imports,430
2021,Rice Imports,432
2022,Rice Imports,434
2023,Rice Imports,436
2024,Rice Imports,438
2025,Rice Imports,440
2026,Rice Imports,442
2027,Rice Imports,444
2028,Rice Imports,446
2029,Rice Imports,448
2030,Rice Imports,450
2031,Rice Imports,452
2032,Rice Imports,454
2033,Rice Imports,456
2034,Rice Imports,458
2035,Rice Imports,460
2036,Rice Imports,462
2037,Rice Imports,464
2038,Rice Imports,466
2039,Rice Imports,468
2040,Rice Imports,470
2041,Rice Imports,472
2042,Rice Imports,474
2043,Rice Imports,476
2044,Rice Imports,478
2045,Rice Imports,480
2046,Rice Imports,482
2047,Rice Imports,484
2048,Rice Imports,486
2049,Rice Imports,488
2050,Rice Imports,490
,Sugar Imports,
2015,Sugar Imports,296.3
2016,Sugar Imports,398.1
2017,Sugar Imports,353.1
2018,Sugar Imports,275.6
2019,Sugar Imports,280
2020,Sugar Imports,287.9
2021,Sugar Imports,296
2022,Sugar Imports,304.3
2023,Sugar Imports,312.9
2024,Sugar Imports,321.7
2025,Sugar Imports,330.7
2026,Sugar Imports,340.6
2027,Sugar Imports,350.4
2028,Sugar Imports,360.3
2029,Sugar Imports,370.1
2030,Sugar Imports,380
2031,Sugar Imports,389.9
2032,Sugar Imports,399.7
2033,Sugar Imports,409.6
2034,Sugar Imports,419.4
2035,Sugar Imports,429.3
2036,Sugar Imports,439.1
2037,Sugar Imports,449
2038,Sugar Imports,458.8
2039,Sugar Imports,468.7
2040,Sugar Imports,478.5
2041,Sugar Imports,488.4
2042,Sugar Imports,498.2
2043,Sugar Imports,508.1
2044,Sugar Imports,517.9
2045,Sugar Imports,527.8
2046,Sugar Imports,537.6
2047,Sugar Imports,547.5
2048,Sugar Imports,557.3
2049,Sugar Imports,567.2
2050,Sugar Imports,577
,Banana Imports,
2015,Banana Imports,956.9
2016,Banana Imports,1001.2
2017,Banana Imports,1075.9
2018,Banana Imports,1147.1
2019,Banana Imports,1140
2020,Banana Imports,1136.3
2021,Banana Imports,1132.6
2022,Banana Imports,1128.9
2023,Banana Imports,1125.3
2024,Banana Imports,1121.6
2025,Banana Imports,1118
2026,Banana Imports,1114.4
2027,Banana Imports,1110.8
2028,Banana Imports,1107.2
2029,Banana Imports,1103.6
2030,Banana Imports,1100
2031,Banana Imports,1096.4
2032,Banana Imports,1092.8
2033,Banana Imports,1089.2
2034,Banana Imports,1085.6
2035,Banana Imports,1082
2036,Banana Imports,1078.4
2037,Banana Imports,1074.8
2038,Banana Imports,1071.2
2039,Banana Imports,1067.6
2040,Banana Imports,1064
2041,Banana Imports,1060.4
2042,Banana Imports,1056.8
2043,Banana Imports,1053.2
2044,Banana Imports,1049.6
2045,Banana Imports,1046
2046,Banana Imports,1042.4
2047,Banana Imports,1038.8
2048,Banana Imports,1035.2
2049,Banana Imports,1031.6
2050,Banana Imports,1028
,Palm Imports,
2015,Palm Imports,663.4
2016,Palm Imports,735.7
2017,Palm Imports,750.8
2018,Palm Imports,638.7
2019,Palm Imports,575
2020,Palm Imports,574.9
2021,Palm Imports,598.8
2022,Palm Imports,623.7
2023,Palm Imports,649.7
2024,Palm Imports,676.7
2025,Palm Imports,704.8
2026,Palm Imports,743.8
2027,Palm Imports,782.9
2028,Palm Imports,821.9
2029,Palm Imports,861
2030,Palm Imports,900
2031,Palm Imports,939
2032,Palm Imports,978.1
2033,Palm Imports,1017.1
2034,Palm Imports,1056.2
2035,Palm Imports,1095.2
2036,Palm Imports,1134.2
2037,Palm Imports,1173.3
2038,Palm Imports,1212.3
2039,Palm Imports,1251.3
2040,Palm Imports,1290.4
2041,Palm Imports,1329.4
2042,Palm Imports,1368.5
2043,Palm Imports,1407.5
2044,Palm Imports,1446.5
2045,Palm Imports,1485.6
2046,Palm Imports,1524.6
2047,Palm Imports,1563.7
2048,Palm Imports,1602.7
2049,Palm Imports,1641.7
2050,Palm Imports,1680.8
,Coffee Imports,
2015,Coffee Imports,3530
2016,Coffee Imports,3611.1
2017,Coffee Imports,3323.2
2018,Coffee Imports,2926
2019,Coffee Imports,2800
