Year,Technology,TotalTechnologyAnnualActivityLowerLimit
,Banana imports,
2015,Banana imports,0.0013
2016,Banana imports,0.0013
2017,Banana imports,0.0013
2018,Banana imports,0.0013
2019,Banana imports,0.0013
2020,Banana imports,0.0013
2021,Banana imports,0.0013
2022,Banana imports,0.0013
2023,Banana imports,0.0013
2024,Banana imports,0.0013
2025,Banana imports,0.0013
2026,Banana imports,0.0013
2027,Banana imports,0.0013
2028,Banana imports,0.0013
2029,Banana imports,0.0013
2030,Banana imports,0.0013
2031,Banana imports,0.0013
2032,Banana imports,0.0013
2033,Banana imports,0.0013
2034,Banana imports,0.0013
2035,Banana imports,0.0013
2036,Banana imports,0.0013
2037,Banana imports,0.0013
2038,Banana imports,0.0013
2039,Banana imports,0.0013
2040,Banana imports,0.0013
2041,Banana imports,0.0013
2042,Banana imports,0.0013
2043,Banana imports,0.0013
2044,Banana imports,0.0013
2045,Banana imports,0.0013
2046,Banana imports,0.0013
2047,Banana imports,0.0013
2048,Banana imports,0.0013
2049,Banana imports,0.0013
2050,Banana imports,0.0013
,Sugar imports,
2015,Sugar imports,0.004
2016,Sugar imports,0.004
2017,Sugar imports,0.004
2018,Sugar imports,0.004
2019,Sugar imports,0.004
2020,Sugar imports,0.004
2021,Sugar imports,0.004
2022,Sugar imports,0.004
2023,Sugar imports,0.004
2024,Sugar imports,0.004
2025,Sugar imports,0.004
2026,Sugar imports,0.004
2027,Sugar imports,0.004
2028,Sugar imports,0.004
2029,Sugar imports,0.004
2030,Sugar imports,0.004
2031,Sugar imports,0.004
2032,Sugar imports,0.004
2033,Sugar imports,0.004
2034,Sugar imports,0.004
2035,Sugar imports,0.004
2036,Sugar imports,0.004
2037,Sugar imports,0.004
2038,Sugar imports,0.004
2039,Sugar imports,0.004
2040,Sugar imports,0.004
2041,Sugar imports,0.004
2042,Sugar imports,0.004
2043,Sugar imports,0.004
2044,Sugar imports,0.004
2045,Sugar imports,0.004
2046,Sugar imports,0.004
2047,Sugar imports,0.004
2048,Sugar imports,0.004
2049,Sugar imports,0.004
2050,Sugar imports,0.004
,Coffee imports,
