Year,Technology,TotalTechnologyAnnualActivityLowerLimit
,Beef imports,
2015,Beef imports,0.001
2016,Beef imports,0.001
2017,Beef imports,0.001
2018,Beef imports,0.001
2019,Beef imports,0.001
2020,Beef imports,0.001
2021,Beef imports,0.001
2022,Beef imports,0.001
2023,Beef imports,0.001
2024,Beef imports,0.001
2025,Beef imports,0.001
2026,Beef imports,0.001
2027,Beef imports,0.001
2028,Beef imports,0.001
2029,Beef imports,0.001
2030,Beef imports,0.001
2031,Beef imports,0.001
2032,Beef imports,0.001
2033,Beef imports,0.001
2034,Beef imports,0.001
2035,Beef imports,0.001
2036,Beef imports,0.001
2037,Beef imports,0.001
2038,Beef imports,0.001
2039,Beef imports,0.001
2040,Beef imports,0.001
2041,Beef imports,0.001
2042,Beef imports,0.001
2043,Beef imports,0.001
2044,Beef imports,0.001
2045,Beef imports,0.001
2046,Beef imports,0.001
2047,Beef imports,0.001
2048,Beef imports,0.001
2049,Beef imports,0.001
2050,Beef imports,0.001
,Milk imports,
2015,Milk imports,0.14
2016,Milk imports,0.14
2017,Milk imports,0.14
2018,Milk imports,0.14
2019,Milk imports,0.14
2020,Milk imports,0.14
2021,Milk imports,0.14
2022,Milk imports,0.14
2023,Milk imports,0.14
2024,Milk imports,0.14
2025,Milk imports,0.14
2026,Milk imports,0.14
2027,Milk imports,0.14
2028,Milk imports,0.14
2029,Milk imports,0.14
2030,Milk imports,0.14
2031,Milk imports,0.14
2032,Milk imports,0.14
2033,Milk imports,0.14
2034,Milk imports,0.14
2035,Milk imports,0.14
2036,Milk imports,0.14
2037,Milk imports,0.14
2038,Milk imports,0.14
2039,Milk imports,0.14
2040,Milk imports,0.14
2041,Milk imports,0.14
2042,Milk imports,0.14
2043,Milk imports,0.14
2044,Milk imports,0.14
2045,Milk imports,0.14
2046,Milk imports,0.14
2047,Milk imports,0.14
2048,Milk imports,0.14
2049,Milk imports,0.14
2050,Milk imports,0.14
