Strategy,Year,CapitalCost
BAU,,
BAU,2015,696.5
BAU,2016,696.5
BAU,2017,696.5
BAU,2018,696.5
BAU,2019,696.5
BAU,2020,696.5
BAU,2021,696.5
BAU,2022,703.47
BAU,2023,710.5
BAU,2024,717.6
BAU,2025,724.78
BAU,2026,732.03
BAU,2027,739.35
BAU,2028,746.74
BAU,2029,754.21
BAU,2030,761.75
BAU,2031,769.37
BAU,2032,777.06
BAU,2033,784.83
BAU,2034,792.68
BAU,2035,800.61
BAU,2036,808.61
BAU,2037,816.7
BAU,2038,824.87
BAU,2039,833.12
BAU,2040,841.45
BAU,2041,849.86
BAU,2042,858.36
BAU,2043,866.94
BAU,2044,875.61
BAU,2045,884.37
BAU,2046,893.21
BAU,2047,902.15
BAU,2048,911.17
BAU,2049,920.28
BAU,2050,929.48
NDP,,
NDP,2015,696.5
NDP,2016,696.5
NDP,2017,696.5
NDP,2018,696.5
NDP,2019,696.5
NDP,2020,696.5
NDP,2021,696.5
NDP,2022,696.5
NDP,2023,696.5
NDP,2024,696.5
NDP,2025,696.5
NDP,2026,696.5
NDP,2027,696.5
NDP,2028,696.5
NDP,2029,696.5
NDP,2030,696.5
NDP,2031,696.5
NDP,2032,696.5
NDP,2033,696.5
NDP,2034,696.5
NDP,2035,696.5
NDP,2036,696.5
NDP,2037,696.5
NDP,2038,696.5
NDP,2039,696.5
NDP,2040,696.5
NDP,2041,696.5
NDP,2042,696.5
NDP,2043,696.5
NDP,2044,696.5
NDP,2045,696.5
NDP,2046,696.5
NDP,2047,696.5
NDP,2048,696.5
NDP,2049,696.5
NDP,2050,696.5
