Strategy,Year,FixedCost
BAU,,
BAU,2015,1241.6
BAU,2016,1241.6
BAU,2017,1241.6
BAU,2018,1241.6
BAU,2019,1241.6
BAU,2020,1241.6
BAU,2021,1241.6
BAU,2022,1254
BAU,2023,1266.5
BAU,2024,1279.2
BAU,2025,1292
BAU,2026,1304.9
BAU,2027,1317.9
BAU,2028,1331.1
BAU,2029,1344.4
BAU,2030,1357.9
BAU,2031,1371.5
BAU,2032,1385.2
BAU,2033,1399
BAU,2034,1413
BAU,2035,1427.1
BAU,2036,1441.4
BAU,2037,1455.8
BAU,2038,1470.4
BAU,2039,1485.1
BAU,2040,1499.9
BAU,2041,1514.9
BAU,2042,1530.1
BAU,2043,1545.4
BAU,2044,1560.8
BAU,2045,1576.5
BAU,2046,1592.2
BAU,2047,1608.1
BAU,2048,1624.2
BAU,2049,1640.5
BAU,2050,1656.9
NDP,,
NDP,2015,1241.6
NDP,2016,1241.6
NDP,2017,1241.6
NDP,2018,1241.6
NDP,2019,1241.6
NDP,2020,1241.6
NDP,2021,1241.6
NDP,2022,1241.6
NDP,2023,1241.6
NDP,2024,1241.6
NDP,2025,1241.6
NDP,2026,1241.6
NDP,2027,1241.6
NDP,2028,1241.6
NDP,2029,1241.6
NDP,2030,1241.6
NDP,2031,1241.6
NDP,2032,1241.6
NDP,2033,1241.6
NDP,2034,1241.6
NDP,2035,1241.6
NDP,2036,1241.6
NDP,2037,1241.6
NDP,2038,1241.6
NDP,2039,1241.6
NDP,2040,1241.6
NDP,2041,1241.6
NDP,2042,1241.6
NDP,2043,1241.6
NDP,2044,1241.6
NDP,2045,1241.6
NDP,2046,1241.6
NDP,2047,1241.6
NDP,2048,1241.6
NDP,2049,1241.6
NDP,2050,1241.6
