Strategy,Year,OutputActivityRatio
BAU,,
BAU,2015,2.97
BAU,2016,3.008
BAU,2017,3.045
BAU,2018,3.081
BAU,2019,3.119
BAU,2020,3.153
BAU,2021,3.187
BAU,2022,3.219
BAU,2023,3.25
BAU,2024,3.283
BAU,2025,3.312
BAU,2026,3.34
BAU,2027,3.37
BAU,2028,3.396
BAU,2029,3.422
BAU,2030,3.449
BAU,2031,3.473
BAU,2032,3.498
BAU,2033,3.52
BAU,2034,3.545
BAU,2035,3.566
BAU,2036,3.589
BAU,2037,3.609
BAU,2038,3.631
BAU,2039,3.651
BAU,2040,3.669
BAU,2041,3.687
BAU,2042,3.704
BAU,2043,3.718
BAU,2044,3.736
BAU,2045,3.751
BAU,2046,3.766
BAU,2047,3.779
BAU,2048,3.792
BAU,2049,3.807
BAU,2050,3.816
NDP,,
NDP,2015,2.97
NDP,2016,3.008
NDP,2017,3.045
NDP,2018,3.081
NDP,2019,3.119
NDP,2020,3.153
NDP,2021,3.187
NDP,2022,3.253
NDP,2023,3.32
NDP,2024,3.39
NDP,2025,3.457
NDP,2026,3.525
NDP,2027,3.595
NDP,2028,3.663
NDP,2029,3.731
NDP,2030,3.802
NDP,2031,3.87
NDP,2032,3.941
NDP,2033,4.009
NDP,2034,4.082
NDP,2035,4.152
NDP,2036,4.225
NDP,2037,4.295
NDP,2038,4.369
NDP,2039,4.442
NDP,2040,4.512
NDP,2041,4.585
NDP,2042,4.657
NDP,2043,4.727
NDP,2044,4.802
NDP,2045,4.875
NDP,2046,4.947
NDP,2047,5.02
NDP,2048,5.093
NDP,2049,5.169
NDP,2050,5.238
