Strategy,Year,CapitalCost
BAU,,
BAU,2015,1985.3
BAU,2016,1985.3
BAU,2017,1985.3
BAU,2018,1985.3
BAU,2019,1985.3
BAU,2020,1985.3
BAU,2021,1985.3
BAU,2022,1994.2
BAU,2023,2003.1
BAU,2024,2012
BAU,2025,2020.9
BAU,2026,2029.8
BAU,2027,2038.7
BAU,2028,2047.6
BAU,2029,2056.5
BAU,2030,2065.4
BAU,2031,2074.3
BAU,2032,2083.2
BAU,2033,2092.1
BAU,2034,2101
BAU,2035,2109.9
BAU,2036,2118.8
BAU,2037,2127.7
BAU,2038,2136.6
BAU,2039,2145.5
BAU,2040,2154.4
BAU,2041,2163.3
BAU,2042,2172.2
BAU,2043,2181.1
BAU,2044,2190
BAU,2045,2198.9
BAU,2046,2207.8
BAU,2047,2216.7
BAU,2048,2225.6
BAU,2049,2234.5
BAU,2050,2243.4
NDP,,
NDP,2015,1985.3
NDP,2016,1985.3
NDP,2017,1985.3
NDP,2018,1985.3
NDP,2019,1985.3
NDP,2020,1985.3
NDP,2021,1985.3
NDP,2022,2009.2
NDP,2023,2033.2
NDP,2024,2057.2
NDP,2025,2081.1
NDP,2026,2105.1
NDP,2027,2129
NDP,2028,2153
NDP,2029,2177
NDP,2030,2200.9
NDP,2031,2224.9
NDP,2032,2248.8
NDP,2033,2272.8
NDP,2034,2296.8
NDP,2035,2320.7
NDP,2036,2344.7
NDP,2037,2368.6
NDP,2038,2392.6
NDP,2039,2416.6
NDP,2040,2440.5
NDP,2041,2464.5
NDP,2042,2488.4
NDP,2043,2512.4
NDP,2044,2536.4
NDP,2045,2560.3
NDP,2046,2584.3
NDP,2047,2608.2
NDP,2048,2632.2
NDP,2049,2656.2
NDP,2050,2680.1
