Strategy,Year,FixedCost
BAU,,
BAU,2015,1972.8
BAU,2016,1972.8
BAU,2017,1972.8
BAU,2018,1972.8
BAU,2019,1972.8
BAU,2020,1972.8
BAU,2021,1972.8
BAU,2022,1981.6
BAU,2023,1990.5
BAU,2024,1999.3
BAU,2025,2008.1
BAU,2026,2017
BAU,2027,2025.8
BAU,2028,2034.7
BAU,2029,2043.5
BAU,2030,2052.4
BAU,2031,2061.2
BAU,2032,2070
BAU,2033,2078.9
BAU,2034,2087.7
BAU,2035,2096.6
BAU,2036,2105.4
BAU,2037,2114.3
BAU,2038,2123.1
BAU,2039,2132
BAU,2040,2140.8
BAU,2041,2149.6
BAU,2042,2158.5
BAU,2043,2167.3
BAU,2044,2176.2
BAU,2045,2185
BAU,2046,2193.9
BAU,2047,2202.7
BAU,2048,2211.5
BAU,2049,2220.4
BAU,2050,2229.2
NDP,,
NDP,2015,1972.8
NDP,2016,1972.8
NDP,2017,1972.8
NDP,2018,1972.8
NDP,2019,1972.8
NDP,2020,1972.8
NDP,2021,1972.8
NDP,2022,1996.6
NDP,2023,2020.4
NDP,2024,2044.2
NDP,2025,2068
NDP,2026,2091.8
NDP,2027,2115.6
NDP,2028,2139.4
NDP,2029,2163.2
NDP,2030,2187.1
NDP,2031,2210.9
NDP,2032,2234.7
NDP,2033,2258.5
NDP,2034,2282.3
NDP,2035,2306.1
NDP,2036,2329.9
NDP,2037,2353.7
NDP,2038,2377.5
NDP,2039,2401.3
NDP,2040,2425.1
NDP,2041,2449
NDP,2042,2472.8
NDP,2043,2496.6
NDP,2044,2520.4
NDP,2045,2544.2
NDP,2046,2568
NDP,2047,2591.8
NDP,2048,2615.6
NDP,2049,2639.4
NDP,2050,2663.2
