Strategy,Year,OutputActivityRatio
BAU,,
BAU,2015,11.754
BAU,2016,11.754
BAU,2017,11.754
BAU,2018,11.754
BAU,2019,11.754
BAU,2020,11.754
BAU,2021,11.754
BAU,2022,11.818
BAU,2023,11.883
BAU,2024,11.947
BAU,2025,12.012
BAU,2026,12.076
BAU,2027,12.14
BAU,2028,12.205
BAU,2029,12.269
BAU,2030,12.333
BAU,2031,12.398
BAU,2032,12.462
BAU,2033,12.527
BAU,2034,12.591
BAU,2035,12.655
BAU,2036,12.72
BAU,2037,12.784
BAU,2038,12.849
BAU,2039,12.913
BAU,2040,12.977
BAU,2041,13.042
BAU,2042,13.106
BAU,2043,13.171
BAU,2044,13.235
BAU,2045,13.299
BAU,2046,13.364
BAU,2047,13.428
BAU,2048,13.492
BAU,2049,13.557
BAU,2050,13.621
NDP,,
NDP,2015,11.754
NDP,2016,11.754
NDP,2017,11.754
NDP,2018,11.754
NDP,2019,11.754
NDP,2020,11.754
NDP,2021,11.754
NDP,2022,11.934
NDP,2023,12.114
NDP,2024,12.294
NDP,2025,12.473
NDP,2026,12.653
NDP,2027,12.833
NDP,2028,13.013
NDP,2029,13.193
NDP,2030,13.373
NDP,2031,13.553
NDP,2032,13.732
NDP,2033,13.912
NDP,2034,14.092
NDP,2035,14.272
NDP,2036,14.452
NDP,2037,14.632
NDP,2038,14.812
NDP,2039,14.991
NDP,2040,15.171
NDP,2041,15.351
NDP,2042,15.531
NDP,2043,15.711
NDP,2044,15.891
NDP,2045,16.071
NDP,2046,16.25
NDP,2047,16.43
NDP,2048,16.61
NDP,2049,16.79
NDP,2050,16.97
