Strategy,Year,FixedCost
BAU,,
BAU,2015,18114.8
BAU,2016,18114.8
BAU,2017,18114.8
BAU,2018,18114.8
BAU,2019,18114.8
BAU,2020,18114.8
BAU,2021,18114.8
BAU,2022,18196
BAU,2023,18277.2
BAU,2024,18358.4
BAU,2025,18439.6
BAU,2026,18520.9
BAU,2027,18602.1
BAU,2028,18683.3
BAU,2029,18764.5
BAU,2030,18845.7
BAU,2031,18926.9
BAU,2032,19008.1
BAU,2033,19089.3
BAU,2034,19170.5
BAU,2035,19251.7
BAU,2036,19332.9
BAU,2037,19414.1
BAU,2038,19495.3
BAU,2039,19576.5
BAU,2040,19657.7
BAU,2041,19738.9
BAU,2042,19820.1
BAU,2043,19901.3
BAU,2044,19982.5
BAU,2045,20063.7
BAU,2046,20144.9
BAU,2047,20226.1
BAU,2048,20307.3
BAU,2049,20388.6
BAU,2050,20469.8
NDP,,
NDP,2015,18114.8
NDP,2016,18114.8
NDP,2017,18114.8
NDP,2018,18114.8
NDP,2019,18114.8
NDP,2020,18114.8
NDP,2021,18114.8
NDP,2022,18333.5
NDP,2023,18552.1
NDP,2024,18770.7
NDP,2025,18989.3
NDP,2026,19208
NDP,2027,19426.6
NDP,2028,19645.2
NDP,2029,19863.8
NDP,2030,20082.5
NDP,2031,20301.1
NDP,2032,20519.7
NDP,2033,20738.4
NDP,2034,20957
NDP,2035,21175.6
NDP,2036,21394.2
NDP,2037,21612.9
NDP,2038,21831.5
NDP,2039,22050.1
NDP,2040,22268.7
NDP,2041,22487.4
NDP,2042,22706
NDP,2043,22924.6
NDP,2044,23143.3
NDP,2045,23361.9
NDP,2046,23580.5
NDP,2047,23799.1
NDP,2048,24017.8
NDP,2049,24236.4
NDP,2050,24455
