Strategy,Year,OutputActivityRatio
BAU,,
BAU,2015,48.595
BAU,2016,48.595
BAU,2017,48.595
BAU,2018,48.595
BAU,2019,48.595
BAU,2020,48.595
BAU,2021,48.595
BAU,2022,48.861
BAU,2023,49.127
BAU,2024,49.394
BAU,2025,49.66
BAU,2026,49.926
BAU,2027,50.192
BAU,2028,50.458
BAU,2029,50.725
BAU,2030,50.991
BAU,2031,51.257
BAU,2032,51.523
BAU,2033,51.789
BAU,2034,52.056
BAU,2035,52.322
BAU,2036,52.588
BAU,2037,52.854
BAU,2038,53.12
BAU,2039,53.387
BAU,2040,53.653
BAU,2041,53.919
BAU,2042,54.185
BAU,2043,54.451
BAU,2044,54.717
BAU,2045,54.984
BAU,2046,55.25
BAU,2047,55.516
BAU,2048,55.782
BAU,2049,56.048
BAU,2050,56.315
NDP,,
NDP,2015,48.595
NDP,2016,48.595
NDP,2017,48.595
NDP,2018,48.595
NDP,2019,48.595
NDP,2020,48.595
NDP,2021,48.595
NDP,2022,49.339
NDP,2023,50.082
NDP,2024,50.826
NDP,2025,51.569
NDP,2026,52.313
NDP,2027,53.057
NDP,2028,53.8
NDP,2029,54.544
NDP,2030,55.287
NDP,2031,56.031
NDP,2032,56.774
NDP,2033,57.518
NDP,2034,58.262
NDP,2035,59.005
NDP,2036,59.749
NDP,2037,60.492
NDP,2038,61.236
NDP,2039,61.98
NDP,2040,62.723
NDP,2041,63.467
NDP,2042,64.21
NDP,2043,64.954
NDP,2044,65.698
NDP,2045,66.441
NDP,2046,67.185
NDP,2047,67.928
NDP,2048,68.672
NDP,2049,69.415
NDP,2050,70.16
