Strategy;Year;CapitalCost
BAU;;
BAU;2015;2097
BAU;2016;2097
BAU;2017;2097
BAU;2018;2097
BAU;2019;2097
BAU;2020;2097
BAU;2021;2097
BAU;2022;2106,4
BAU;2023;2115,8
BAU;2024;2125,2
BAU;2025;2134,6
BAU;2026;2144
BAU;2027;2153,4
BAU;2028;2162,8
BAU;2029;2172,2
BAU;2030;2181,6
BAU;2031;2191
BAU;2032;2200,4
BAU;2033;2209,8
BAU;2034;2219,2
BAU;2035;2228,6
BAU;2036;2238
BAU;2037;2247,4
BAU;2038;2256,8
BAU;2039;2266,2
BAU;2040;2275,6
BAU;2041;2285
BAU;2042;2294,4
BAU;2043;2303,8
BAU;2044;2313,2
BAU;2045;2322,6
BAU;2046;2332
BAU;2047;2341,4
BAU;2048;2350,8
BAU;2049;2360,2
BAU;2050;2369,6
NDP;;
NDP;2015;2097
NDP;2016;2097
NDP;2017;2097
NDP;2018;2097
NDP;2019;2097
NDP;2020;2097
NDP;2021;2097
NDP;2022;2122,3
NDP;2023;2147,6
NDP;2024;2172,9
NDP;2025;2198,2
NDP;2026;2223,5
NDP;2027;2248,8
NDP;2028;2274,1
NDP;2029;2299,4
NDP;2030;2324,7
NDP;2031;2350
NDP;2032;2375,3
NDP;2033;2400,7
NDP;2034;2426
NDP;2035;2451,3
NDP;2036;2476,6
NDP;2037;2501,9
NDP;2038;2527,2
NDP;2039;2552,5
NDP;2040;2577,8
NDP;2041;2603,1
NDP;2042;2628,4
NDP;2043;2653,7
NDP;2044;2679
NDP;2045;2704,4
NDP;2046;2729,7
NDP;2047;2755
NDP;2048;2780,3
NDP;2049;2805,6
NDP;2050;2830,9
