Strategy;Year;EmissionActivityRatio
BAU;;
BAU;2015;5,24
BAU;2016;5,24
BAU;2017;5,24
BAU;2018;5,24
BAU;2019;5,24
BAU;2020;5,24
BAU;2021;5,24
BAU;2022;5,24
BAU;2023;5,24
BAU;2024;5,24
BAU;2025;5,24
BAU;2026;5,24
BAU;2027;5,24
BAU;2028;5,24
BAU;2029;5,24
BAU;2030;5,24
BAU;2031;5,24
BAU;2032;5,24
BAU;2033;5,24
BAU;2034;5,24
BAU;2035;5,24
BAU;2036;5,24
BAU;2037;5,24
BAU;2038;5,24
BAU;2039;5,24
BAU;2040;5,24
BAU;2041;5,24
BAU;2042;5,24
BAU;2043;5,24
BAU;2044;5,24
BAU;2045;5,24
BAU;2046;5,24
BAU;2047;5,24
BAU;2048;5,24
BAU;2049;5,24
BAU;2050;5,24
NDP;;
NDP;2015;5,24
NDP;2016;5,24
NDP;2017;5,24
NDP;2018;5,24
NDP;2019;5,24
NDP;2020;5,24
NDP;2021;5,24
NDP;2022;5,24
NDP;2023;5,24
NDP;2024;5,24
NDP;2025;5,19
NDP;2026;5,14
NDP;2027;5,09
NDP;2028;5,03
NDP;2029;4,98
NDP;2030;4,93
NDP;2031;4,88
NDP;2032;4,83
NDP;2033;4,78
NDP;2034;4,73
NDP;2035;4,67
NDP;2036;4,62
NDP;2037;4,57
NDP;2038;4,52
NDP;2039;4,47
NDP;2040;4,42
NDP;2041;4,37
NDP;2042;4,32
NDP;2043;4,26
NDP;2044;4,21
NDP;2045;4,16
NDP;2046;4,11
NDP;2047;4,06
NDP;2048;4,01
NDP;2049;3,96
NDP;2050;3,9
