Strategy;Year;FixedCost
BAU;;
BAU;2015;1565,6
BAU;2016;1565,6
BAU;2017;1565,6
BAU;2018;1565,6
BAU;2019;1565,6
BAU;2020;1565,6
BAU;2021;1565,6
BAU;2022;1572,6
BAU;2023;1579,7
BAU;2024;1586,7
BAU;2025;1593,7
BAU;2026;1600,7
BAU;2027;1607,7
BAU;2028;1614,8
BAU;2029;1621,8
BAU;2030;1628,8
BAU;2031;1635,8
BAU;2032;1642,8
BAU;2033;1649,9
BAU;2034;1656,9
BAU;2035;1663,9
BAU;2036;1670,9
BAU;2037;1677,9
BAU;2038;1684,9
BAU;2039;1692
BAU;2040;1699
BAU;2041;1706
BAU;2042;1713
BAU;2043;1720
BAU;2044;1727,1
BAU;2045;1734,1
BAU;2046;1741,1
BAU;2047;1748,1
BAU;2048;1755,1
BAU;2049;1762,1
BAU;2050;1769,2
NDP;;
NDP;2015;1565,6
NDP;2016;1565,6
NDP;2017;1565,6
NDP;2018;1565,6
NDP;2019;1565,6
NDP;2020;1565,6
NDP;2021;1565,6
NDP;2022;1584,5
NDP;2023;1603,4
NDP;2024;1622,3
NDP;2025;1641,2
NDP;2026;1660,1
NDP;2027;1679
NDP;2028;1697,9
NDP;2029;1716,8
NDP;2030;1735,7
NDP;2031;1754,6
NDP;2032;1773,5
NDP;2033;1792,4
NDP;2034;1811,3
NDP;2035;1830,2
NDP;2036;1849,1
NDP;2037;1868
NDP;2038;1886,9
NDP;2039;1905,7
NDP;2040;1924,6
NDP;2041;1943,5
NDP;2042;1962,4
NDP;2043;1981,3
NDP;2044;2000,2
NDP;2045;2019,1
NDP;2046;2038
NDP;2047;2056,9
NDP;2048;2075,8
NDP;2049;2094,7
NDP;2050;2113,6
