Strategy;Year;OutputActivityRatio
BAU;;
BAU;2015;4,003
BAU;2016;4,003
BAU;2017;4,003
BAU;2018;4,003
BAU;2019;4,003
BAU;2020;4,003
BAU;2021;4,003
BAU;2022;4,025
BAU;2023;4,047
BAU;2024;4,069
BAU;2025;4,091
BAU;2026;4,113
BAU;2027;4,135
BAU;2028;4,156
BAU;2029;4,178
BAU;2030;4,2
BAU;2031;4,222
BAU;2032;4,244
BAU;2033;4,266
BAU;2034;4,288
BAU;2035;4,31
BAU;2036;4,332
BAU;2037;4,354
BAU;2038;4,376
BAU;2039;4,398
BAU;2040;4,42
BAU;2041;4,442
BAU;2042;4,463
BAU;2043;4,485
BAU;2044;4,507
BAU;2045;4,529
BAU;2046;4,551
BAU;2047;4,573
BAU;2048;4,595
BAU;2049;4,617
BAU;2050;4,639
NDP;;
NDP;2015;4,003
NDP;2016;4,003
NDP;2017;4,003
NDP;2018;4,003
NDP;2019;4,003
NDP;2020;4,003
NDP;2021;4,003
NDP;2022;4,064
NDP;2023;4,126
NDP;2024;4,187
NDP;2025;4,248
NDP;2026;4,309
NDP;2027;4,371
NDP;2028;4,432
NDP;2029;4,493
NDP;2030;4,554
NDP;2031;4,616
NDP;2032;4,677
NDP;2033;4,738
NDP;2034;4,799
NDP;2035;4,861
NDP;2036;4,922
NDP;2037;4,983
NDP;2038;5,044
NDP;2039;5,106
NDP;2040;5,167
NDP;2041;5,228
NDP;2042;5,289
NDP;2043;5,351
NDP;2044;5,412
NDP;2045;5,473
NDP;2046;5,534
NDP;2047;5,596
NDP;2048;5,657
NDP;2049;5,718
NDP;2050;5,779
