Strategy,Year,EmissionActivityRatio
BAU,2015,3.19
BAU,2016,3.19
BAU,2017,3.19
BAU,2018,3.19
BAU,2019,3.19
BAU,2020,3.19
BAU,2021,3.19
BAU,2022,3.19
BAU,2023,3.19
BAU,2024,3.19
BAU,2025,3.19
BAU,2026,3.19
BAU,2027,3.19
BAU,2028,3.19
BAU,2029,3.19
BAU,2030,3.19
BAU,2031,3.19
BAU,2032,3.19
BAU,2033,3.19
BAU,2034,3.19
BAU,2035,3.19
BAU,2036,3.19
BAU,2037,3.19
BAU,2038,3.19
BAU,2039,3.19
BAU,2040,3.19
BAU,2041,3.19
BAU,2042,3.19
BAU,2043,3.19
BAU,2044,3.19
BAU,2045,3.19
BAU,2046,3.19
BAU,2047,3.19
BAU,2048,3.19
BAU,2049,3.19
BAU,2050,3.19
BAU,,
NDP,2015,3.19
NDP,2016,3.19
NDP,2017,3.19
NDP,2018,3.19
NDP,2019,3.19
NDP,2020,3.19
NDP,2021,3.19
NDP,2022,3.19
NDP,2023,3.19
NDP,2024,3.19
NDP,2025,3.16
NDP,2026,3.13
NDP,2027,3.1
NDP,2028,3.06
NDP,2029,3.03
NDP,2030,3
NDP,2031,2.97
NDP,2032,2.94
NDP,2033,2.91
NDP,2034,2.88
NDP,2035,2.85
NDP,2036,2.81
NDP,2037,2.78
NDP,2038,2.75
NDP,2039,2.72
NDP,2040,2.69
NDP,2041,2.66
NDP,2042,2.63
NDP,2043,2.6
NDP,2044,2.56
NDP,2045,2.53
NDP,2046,2.5
NDP,2047,2.47
NDP,2048,2.44
NDP,2049,2.41
NDP,2050,2.38
NDP,,
